,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Paolo Banchero,35:41,.592,.556,.278,.500,3.1,11.5,6.8,32.6,0.0,0.0,8.3,29.2,122,109,4.7,Phoenix Suns,Orlando Magic,2024-01-28
1,Jalen Suggs,32:15,.455,.455,.727,.000,3.4,12.8,7.5,21.2,3.1,2.5,15.4,17.5,96,100,-1.6,Phoenix Suns,Orlando Magic,2024-01-28
2,Franz Wagner,30:58,.446,.364,.636,.273,7.0,26.6,15.7,29.8,1.6,0.0,14.0,20.1,107,104,-0.2,Phoenix Suns,Orlando Magic,2024-01-28
3,Markelle Fultz,27:23,.700,.700,.000,.000,4.0,5.0,4.4,24.4,9.1,0.0,0.0,15.9,151,91,13.2,Phoenix Suns,Orlando Magic,2024-01-28
4,Wendell Carter Jr.,23:19,.563,.563,.500,.000,0.0,17.6,7.8,6.3,0.0,3.5,0.0,14.9,115,105,-1.7,Phoenix Suns,Orlando Magic,2024-01-28
6,Jonathan Isaac,22:56,.514,.500,.286,.571,4.8,12.0,7.9,6.0,2.2,7.1,10.2,18.5,101,98,-1.7,Phoenix Suns,Orlando Magic,2024-01-28
7,Moritz Wagner,22:45,.484,.385,.000,.615,24.0,42.2,32.0,6.9,2.2,3.6,0.0,31.6,120,98,4.0,Phoenix Suns,Orlando Magic,2024-01-28
8,Joe Ingles,13:18,.750,.750,1.000,.000,0.0,20.6,9.1,21.4,0.0,0.0,0.0,13.1,156,107,1.9,Phoenix Suns,Orlando Magic,2024-01-28
9,Anthony Black,13:15,.694,.500,.500,1.000,0.0,10.4,4.6,9.7,0.0,6.1,0.0,9.4,159,104,0.9,Phoenix Suns,Orlando Magic,2024-01-28
10,Cole Anthony,10:26,.500,.500,.400,.000,0.0,13.1,5.8,14.5,9.5,0.0,0.0,20.8,108,88,4.6,Phoenix Suns,Orlando Magic,2024-01-28
11,Goga Bitadze,1:56,,,,,0.0,0.0,0.0,0.0,0.0,42.1,,0.0,0,74,8.2,Phoenix Suns,Orlando Magic,2024-01-28
12,Caleb Houstan,1:56,1.500,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,300,110,46.4,Phoenix Suns,Orlando Magic,2024-01-28
13,Chuma Okeke,1:56,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0,110,-29.8,Phoenix Suns,Orlando Magic,2024-01-28
14,Trevelin Queen,1:56,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0,110,-30.0,Phoenix Suns,Orlando Magic,2024-01-28
