,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Keegan Murray,36:06,.949,.957,.652,.174,3.7,20.2,13.0,10.8,2.8,0.0,0.0,31.2,176,105,26.7,Utah Jazz,Sacramento Kings,2023-12-16
1,Domantas Sabonis,34:40,.850,.900,.100,.400,7.7,24.1,16.9,33.0,2.9,0.0,33.8,23.3,125,103,6.6,Utah Jazz,Sacramento Kings,2023-12-16
2,Harrison Barnes,32:42,.699,.682,.455,.091,8.2,6.4,7.2,7.9,1.5,0.0,0.0,15.9,150,111,2.7,Utah Jazz,Sacramento Kings,2023-12-16
3,Keon Ellis,26:02,.258,.000,1.000,.667,0.0,4.0,2.2,28.1,1.9,0.0,43.6,12.0,91,110,-5.8,Utah Jazz,Sacramento Kings,2023-12-16
4,Kevin Huerter,24:43,.799,.833,.667,.333,5.4,8.4,7.1,25.4,0.0,0.0,0.0,12.7,179,113,5.1,Utah Jazz,Sacramento Kings,2023-12-16
6,Malik Monk,26:04,.533,.500,.750,.125,0.0,16.0,9.0,42.1,0.0,3.8,5.6,31.2,125,109,4.6,Utah Jazz,Sacramento Kings,2023-12-16
7,Davion Mitchell,18:27,.400,.400,.200,.000,0.0,0.0,0.0,6.4,0.0,0.0,0.0,12.3,94,116,-13.5,Utah Jazz,Sacramento Kings,2023-12-16
8,Trey Lyles,17:39,.000,.000,1.000,.000,7.6,41.4,26.5,0.0,0.0,5.6,50.0,10.3,24,101,-16.3,Utah Jazz,Sacramento Kings,2023-12-16
9,Sasha Vezenkov,11:23,.500,.500,.667,.000,0.0,36.7,20.6,20.2,0.0,0.0,0.0,12.0,133,107,2.8,Utah Jazz,Sacramento Kings,2023-12-16
10,JaVale McGee,3:51,.667,.667,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,47.2,83,115,-19.7,Utah Jazz,Sacramento Kings,2023-12-16
11,Chris Duarte,3:34,.000,.000,.000,.000,0.0,29.3,16.4,0.0,0.0,0.0,33.3,38.2,0,109,-48.0,Utah Jazz,Sacramento Kings,2023-12-16
12,Kessler Edwards,2:24,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116,-6.5,Utah Jazz,Sacramento Kings,2023-12-16
13,Juan Toscano-Anderson,2:24,.000,.000,.000,.000,55.6,43.5,48.8,43.5,0.0,0.0,0.0,18.9,117,105,0.0,Utah Jazz,Sacramento Kings,2023-12-16
