,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Fred VanVleet,38:53,.444,.375,.750,.500,0.0,11.8,5.2,30.8,1.2,0.0,21.5,19.0,90,102,-4.3,Houston Rockets,Brooklyn Nets,2024-01-27
1,Dillon Brooks,38:35,.481,.417,.389,.222,2.3,11.8,6.5,8.8,1.2,0.0,9.2,22.4,99,102,-3.0,Houston Rockets,Brooklyn Nets,2024-01-27
2,Jalen Green,33:18,.586,.500,.643,.357,2.7,30.9,15.2,4.8,1.4,0.0,5.8,20.5,123,102,5.2,Houston Rockets,Brooklyn Nets,2024-01-27
3,Alperen Şengün,27:30,.508,.462,.077,.308,16.5,24.9,20.2,13.2,0.0,0.0,16.9,25.6,101,105,-0.3,Houston Rockets,Brooklyn Nets,2024-01-27
4,Jeff Green,16:03,.200,.200,.200,.000,0.0,14.2,6.3,0.0,0.0,0.0,16.7,14.8,37,106,-12.6,Houston Rockets,Brooklyn Nets,2024-01-27
6,Cam Whitmore,28:57,.535,.469,.438,.250,9.4,23.7,15.7,6.1,0.0,4.1,0.0,24.3,125,102,7.8,Houston Rockets,Brooklyn Nets,2024-01-27
7,Aaron Holiday,18:03,.500,.500,.000,.000,5.0,12.7,8.4,9.2,0.0,0.0,25.0,17.6,83,105,-7.2,Houston Rockets,Brooklyn Nets,2024-01-27
8,Jae'Sean Tate,17:21,.600,.600,.200,.000,5.2,26.3,14.6,19.3,0.0,0.0,16.7,13.7,114,103,-1.3,Houston Rockets,Brooklyn Nets,2024-01-27
9,Amen Thompson,15:24,.833,.833,.667,.000,5.9,22.3,13.1,20.3,9.0,15.6,40.0,12.9,107,73,16.0,Houston Rockets,Brooklyn Nets,2024-01-27
10,Jock Landale,5:56,.000,.000,.000,.000,30.5,0.0,17.0,21.9,0.0,0.0,33.3,20.0,50,104,-17.9,Houston Rockets,Brooklyn Nets,2024-01-27
11,Reggie Bullock,0:0,Houston Rockets,Brooklyn Nets,2024-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Nate Hinton,0:0,Houston Rockets,Brooklyn Nets,2024-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Boban Marjanović,0:0,Houston Rockets,Brooklyn Nets,2024-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Jermaine Samuels,0:0,Houston Rockets,Brooklyn Nets,2024-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
