,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Anfernee Simons,5:00,1,1,1.000,0,0,,4,4,1.000,0,1,1,3,0,0,0,0,6,+7,Portland Trail Blazers,Brooklyn Nets,2024-01-07
1,Jerami Grant,5:00,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,1,0,0,4,+7,Portland Trail Blazers,Brooklyn Nets,2024-01-07
2,Duop Reath,5:00,0,0,,0,0,,0,0,,0,3,3,0,0,1,0,2,0,+7,Portland Trail Blazers,Brooklyn Nets,2024-01-07
3,Scoot Henderson, ,Portland Trail Blazers,Brooklyn Nets,2024-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Toumani Camara, ,Portland Trail Blazers,Brooklyn Nets,2024-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Shaedon Sharpe,5:00,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1,+7,Portland Trail Blazers,Brooklyn Nets,2024-01-07
7,Malcolm Brogdon,5:00,3,3,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,8,+7,Portland Trail Blazers,Brooklyn Nets,2024-01-07
8,Ibou Badji, ,Portland Trail Blazers,Brooklyn Nets,2024-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Kris Murray, ,Portland Trail Blazers,Brooklyn Nets,2024-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Justin Minaya,0:0,Portland Trail Blazers,Brooklyn Nets,2024-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Rayan Rupert,0:0,Portland Trail Blazers,Brooklyn Nets,2024-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Jabari Walker,0:0,Portland Trail Blazers,Brooklyn Nets,2024-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
