,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Shaedon Sharpe,5:00,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,2,5,-5,Portland Trail Blazers,Utah Jazz,2023-12-02
1,Malcolm Brogdon,5:00,0,4,.000,0,2,.000,0,0,,0,0,0,2,1,0,0,0,0,-5,Portland Trail Blazers,Utah Jazz,2023-12-02
2,Deandre Ayton,5:00,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,1,0,-5,Portland Trail Blazers,Utah Jazz,2023-12-02
3,Toumani Camara,5:00,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,1,2,-5,Portland Trail Blazers,Utah Jazz,2023-12-02
4,Jerami Grant, ,Portland Trail Blazers,Utah Jazz,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Matisse Thybulle,5:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-5,Portland Trail Blazers,Utah Jazz,2023-12-02
7,Jabari Walker, ,Portland Trail Blazers,Utah Jazz,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Scoot Henderson, ,Portland Trail Blazers,Utah Jazz,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Duop Reath, ,Portland Trail Blazers,Utah Jazz,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Moses Brown,0:0,Portland Trail Blazers,Utah Jazz,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Skylar Mays,0:0,Portland Trail Blazers,Utah Jazz,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Kris Murray,0:0,Portland Trail Blazers,Utah Jazz,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
