,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Coby White,39:07,9,15,.600,5,7,.714,1,1,1.000,0,4,4,6,1,0,3,0,24,+18,Chicago Bulls,San Antonio Spurs,2023-12-08
1,DeMar DeRozan,38:38,7,24,.292,0,2,.000,6,10,.600,1,5,6,10,3,0,2,2,20,+13,Chicago Bulls,San Antonio Spurs,2023-12-08
2,Nikola Vučević,36:00,9,22,.409,0,2,.000,3,3,1.000,10,6,16,2,0,1,0,2,21,+15,Chicago Bulls,San Antonio Spurs,2023-12-08
3,Patrick Williams,34:23,8,11,.727,2,3,.667,2,4,.500,1,5,6,3,1,1,0,3,20,+20,Chicago Bulls,San Antonio Spurs,2023-12-08
4,Alex Caruso,18:25,2,5,.400,0,2,.000,0,0,,1,2,3,2,1,0,2,2,4,-3,Chicago Bulls,San Antonio Spurs,2023-12-08
6,Ayo Dosunmu,26:02,2,5,.400,0,2,.000,0,0,,0,3,3,3,1,0,0,1,4,-2,Chicago Bulls,San Antonio Spurs,2023-12-08
7,Torrey Craig,22:36,5,8,.625,5,7,.714,1,2,.500,4,4,8,0,2,0,0,3,16,+1,Chicago Bulls,San Antonio Spurs,2023-12-08
8,Andre Drummond,12:00,3,7,.429,0,0,,1,4,.250,6,2,8,0,0,0,0,2,7,-6,Chicago Bulls,San Antonio Spurs,2023-12-08
9,Jevon Carter,8:37,1,4,.250,1,3,.333,0,0,,0,0,0,1,0,0,0,2,3,-7,Chicago Bulls,San Antonio Spurs,2023-12-08
10,Julian Phillips,4:12,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,2,2,-4,Chicago Bulls,San Antonio Spurs,2023-12-08
11,Terry Taylor,0:0,Chicago Bulls,San Antonio Spurs,2023-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Dalen Terry,0:0,Chicago Bulls,San Antonio Spurs,2023-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
