,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Jamal Murray,29:55,9,14,.643,1,1,1.000,0,0,,1,1,2,8,0,0,4,1,19,+22,Denver Nuggets,Oklahoma City Thunder,2023-10-29
1,Nikola Jokić,29:52,12,16,.750,1,2,.500,3,3,1.000,2,12,14,5,0,0,4,3,28,+21,Denver Nuggets,Oklahoma City Thunder,2023-10-29
2,Kentavious Caldwell-Pope,29:52,2,5,.400,1,4,.250,2,2,1.000,0,3,3,1,2,0,1,2,7,+21,Denver Nuggets,Oklahoma City Thunder,2023-10-29
3,Michael Porter Jr.,24:39,8,14,.571,4,7,.571,0,0,,3,6,9,2,0,0,1,3,20,+12,Denver Nuggets,Oklahoma City Thunder,2023-10-29
4,Aaron Gordon,23:05,4,7,.571,0,1,.000,1,3,.333,1,2,3,2,1,3,1,1,9,+22,Denver Nuggets,Oklahoma City Thunder,2023-10-29
6,Reggie Jackson,22:00,2,3,.667,1,2,.500,0,0,,0,0,0,6,2,0,2,4,5,+13,Denver Nuggets,Oklahoma City Thunder,2023-10-29
7,Peyton Watson,21:36,8,11,.727,1,3,.333,0,0,,1,3,4,1,1,1,0,1,17,+11,Denver Nuggets,Oklahoma City Thunder,2023-10-29
8,Christian Braun,21:10,4,9,.444,0,2,.000,5,5,1.000,1,6,7,7,1,1,0,2,13,+25,Denver Nuggets,Oklahoma City Thunder,2023-10-29
9,Zeke Nnaji,14:49,0,1,.000,0,0,,0,0,,1,2,3,1,0,0,0,2,0,+12,Denver Nuggets,Oklahoma City Thunder,2023-10-29
10,Julian Strawther,7:34,3,5,.600,2,3,.667,0,0,,0,1,1,1,0,0,0,0,8,+4,Denver Nuggets,Oklahoma City Thunder,2023-10-29
11,Collin Gillespie,5:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,+2,Denver Nuggets,Oklahoma City Thunder,2023-10-29
12,Braxton Key,3:19,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,0,Denver Nuggets,Oklahoma City Thunder,2023-10-29
13,Justin Holiday,3:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,Denver Nuggets,Oklahoma City Thunder,2023-10-29
14,Hunter Tyson,3:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,0,Denver Nuggets,Oklahoma City Thunder,2023-10-29
15,DeAndre Jordan,0:0,Denver Nuggets,Oklahoma City Thunder,2023-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
