,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Lauri Markkanen,33:52,5,14,.357,2,8,.250,2,2,1.000,2,3,5,1,1,0,0,1,14,-10,Utah Jazz,New York Knicks,2024-01-30
1,Simone Fontecchio,29:24,5,10,.500,4,8,.500,0,0,,2,3,5,1,0,1,1,1,14,0,Utah Jazz,New York Knicks,2024-01-30
2,John Collins,28:24,5,12,.417,1,4,.250,0,1,.000,3,8,11,3,0,0,1,4,11,-12,Utah Jazz,New York Knicks,2024-01-30
3,Collin Sexton,27:58,7,13,.538,2,4,.500,6,8,.750,2,1,3,7,0,0,2,2,22,-6,Utah Jazz,New York Knicks,2024-01-30
4,Kris Dunn,16:54,3,5,.600,0,0,,0,0,,2,1,3,6,1,0,3,2,6,-5,Utah Jazz,New York Knicks,2024-01-30
6,Jordan Clarkson,31:18,5,12,.417,1,5,.200,0,0,,0,1,1,1,0,0,3,2,11,-19,Utah Jazz,New York Knicks,2024-01-30
7,Keyonte George,22:30,6,12,.500,1,5,.200,2,2,1.000,0,2,2,1,0,0,2,2,15,-6,Utah Jazz,New York Knicks,2024-01-30
8,Kelly Olynyk,20:43,0,3,.000,0,1,.000,1,2,.500,1,4,5,3,0,0,1,2,1,-16,Utah Jazz,New York Knicks,2024-01-30
9,Walker Kessler,16:15,2,4,.500,0,0,,2,2,1.000,3,4,7,0,0,4,1,0,6,-5,Utah Jazz,New York Knicks,2024-01-30
10,Ochai Agbaji,12:42,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,0,0,3,+4,Utah Jazz,New York Knicks,2024-01-30
11,Talen Horton-Tucker,0:0,Utah Jazz,New York Knicks,2024-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Luka Šamanić,0:0,Utah Jazz,New York Knicks,2024-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Omer Yurtseven,0:0,Utah Jazz,New York Knicks,2024-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
