,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Kyle Kuzma,25:13,11,21,.524,1,6,.167,2,3,.667,0,9,9,6,0,0,1,1,25,-16,Washington Wizards,Atlanta Hawks,2023-11-01
1,Deni Avdija,23:34,10,16,.625,2,4,.500,0,1,.000,3,2,5,3,2,1,1,5,22,+3,Washington Wizards,Atlanta Hawks,2023-11-01
2,Tyus Jones,22:07,3,6,.500,0,3,.000,0,0,,0,1,1,3,1,0,1,1,6,-23,Washington Wizards,Atlanta Hawks,2023-11-01
3,Mike Muscala,21:59,2,7,.286,1,4,.250,2,2,1.000,1,3,4,1,1,1,2,3,7,-22,Washington Wizards,Atlanta Hawks,2023-11-01
4,Jordan Poole,20:29,5,13,.385,2,6,.333,1,1,1.000,0,0,0,1,1,0,1,1,13,-22,Washington Wizards,Atlanta Hawks,2023-11-01
6,Bilal Coulibaly,27:37,2,5,.400,1,4,.250,0,2,.000,1,2,3,3,3,0,3,2,5,+15,Washington Wizards,Atlanta Hawks,2023-11-01
7,Delon Wright,21:36,1,3,.333,1,3,.333,0,0,,0,3,3,9,2,0,0,1,3,+6,Washington Wizards,Atlanta Hawks,2023-11-01
8,Danilo Gallinari,18:52,4,5,.800,0,0,,0,0,,1,4,5,0,0,0,0,1,8,-4,Washington Wizards,Atlanta Hawks,2023-11-01
9,Corey Kispert,13:48,1,5,.200,0,4,.000,0,0,,0,0,0,1,0,0,0,1,2,0,Washington Wizards,Atlanta Hawks,2023-11-01
10,Landry Shamet,12:05,3,5,.600,2,4,.500,0,0,,0,1,1,2,1,0,0,3,8,-4,Washington Wizards,Atlanta Hawks,2023-11-01
11,Johnny Davis,10:28,3,6,.500,0,1,.000,1,1,1.000,0,1,1,0,3,0,0,3,7,-9,Washington Wizards,Atlanta Hawks,2023-11-01
12,Eugene Omoruyi,7:53,3,6,.500,0,1,.000,1,2,.500,0,2,2,0,0,0,1,1,7,-3,Washington Wizards,Atlanta Hawks,2023-11-01
13,Ryan Rollins,7:09,2,2,1.000,0,0,,2,2,1.000,0,0,0,1,0,1,0,2,6,+17,Washington Wizards,Atlanta Hawks,2023-11-01
14,Anthony Gill,7:09,1,1,1.000,0,0,,0,0,,0,1,1,2,0,0,1,0,2,+17,Washington Wizards,Atlanta Hawks,2023-11-01
15,Jared Butler,0:0,Washington Wizards,Atlanta Hawks,2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
