,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Jayson Tatum,38:48,11,25,.440,5,13,.385,7,10,.700,1,8,9,4,2,0,6,2,34,+3,Atlanta Hawks,Boston Celtics,2023-11-26
1,Derrick White,37:29,5,13,.385,0,6,.000,5,5,1.000,2,2,4,11,3,0,3,5,15,+29,Atlanta Hawks,Boston Celtics,2023-11-26
2,Jaylen Brown,36:28,9,19,.474,2,7,.286,1,2,.500,1,6,7,3,1,0,2,4,21,+5,Atlanta Hawks,Boston Celtics,2023-11-26
3,Al Horford,32:24,3,8,.375,0,5,.000,0,0,,3,12,15,3,1,2,0,1,6,+17,Atlanta Hawks,Boston Celtics,2023-11-26
4,Dalano Banton,18:43,3,5,.600,0,1,.000,2,2,1.000,2,3,5,1,0,0,1,4,8,-4,Atlanta Hawks,Boston Celtics,2023-11-26
6,Sam Hauser,31:44,4,9,.444,4,9,.444,0,0,,2,2,4,2,0,0,0,2,12,+11,Atlanta Hawks,Boston Celtics,2023-11-26
7,Payton Pritchard,19:54,2,6,.333,2,6,.333,0,0,,0,2,2,0,0,0,0,0,6,-10,Atlanta Hawks,Boston Celtics,2023-11-26
8,Neemias Queta,15:09,3,8,.375,0,0,,1,1,1.000,6,4,10,0,1,0,0,0,7,+5,Atlanta Hawks,Boston Celtics,2023-11-26
9,Luke Kornet,9:20,2,2,1.000,0,0,,0,0,,1,1,2,0,1,1,0,1,4,-6,Atlanta Hawks,Boston Celtics,2023-11-26
10,Oshae Brissett,0:0,Atlanta Hawks,Boston Celtics,2023-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Svi Mykhailiuk,0:0,Atlanta Hawks,Boston Celtics,2023-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Lamar Stevens,0:0,Atlanta Hawks,Boston Celtics,2023-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Jordan Walsh,0:0,Atlanta Hawks,Boston Celtics,2023-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
