,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,James Harden,32:09,5,13,.385,3,8,.375,4,5,.800,0,2,2,6,1,1,0,0,17,-9,Minnesota Timberwolves,Los Angeles Clippers,2024-02-12
1,Kawhi Leonard,30:06,8,17,.471,1,3,.333,1,1,1.000,4,0,4,1,1,0,3,2,18,-15,Minnesota Timberwolves,Los Angeles Clippers,2024-02-12
2,Paul George,29:47,5,16,.313,2,8,.250,6,6,1.000,0,6,6,3,1,0,0,2,18,-13,Minnesota Timberwolves,Los Angeles Clippers,2024-02-12
3,Terance Mann,25:13,1,3,.333,0,0,,0,0,,0,2,2,1,1,0,1,1,2,-4,Minnesota Timberwolves,Los Angeles Clippers,2024-02-12
4,Ivica Zubac,22:36,2,5,.400,0,0,,2,2,1.000,5,6,11,2,0,1,2,4,6,-2,Minnesota Timberwolves,Los Angeles Clippers,2024-02-12
6,Russell Westbrook,29:00,3,11,.273,1,5,.200,4,5,.800,0,2,2,3,2,0,1,2,11,-21,Minnesota Timberwolves,Los Angeles Clippers,2024-02-12
7,Amir Coffey,25:59,4,5,.800,1,1,1.000,1,1,1.000,0,1,1,2,0,0,0,2,10,-18,Minnesota Timberwolves,Los Angeles Clippers,2024-02-12
8,Norman Powell,16:33,2,7,.286,1,2,.500,1,2,.500,0,2,2,0,0,0,1,1,6,-22,Minnesota Timberwolves,Los Angeles Clippers,2024-02-12
9,Mason Plumlee,8:55,1,1,1.000,0,0,,0,0,,0,3,3,2,0,0,2,0,2,0,Minnesota Timberwolves,Los Angeles Clippers,2024-02-12
10,Brandon Boston Jr.,4:56,2,4,.500,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,6,+3,Minnesota Timberwolves,Los Angeles Clippers,2024-02-12
11,Jordan Miller,4:56,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,4,+3,Minnesota Timberwolves,Los Angeles Clippers,2024-02-12
12,Kobe Brown,4:56,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,2,0,0,+3,Minnesota Timberwolves,Los Angeles Clippers,2024-02-12
13,Daniel Theis,4:54,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,0,0,-10,Minnesota Timberwolves,Los Angeles Clippers,2024-02-12
14,Bones Hyland,0:0,Minnesota Timberwolves,Los Angeles Clippers,2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,P.J. Tucker,0:0,Minnesota Timberwolves,Los Angeles Clippers,2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
