,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Amen Thompson,38:17,4,5,.800,0,0,,0,2,.000,6,7,13,5,5,0,3,2,8,-5,New York Knicks,Houston Rockets,2024-02-12
1,Jabari Smith Jr.,37:52,6,13,.462,2,6,.333,6,8,.750,2,5,7,2,0,0,1,1,20,-2,New York Knicks,Houston Rockets,2024-02-12
2,Dillon Brooks,36:48,8,15,.533,6,7,.857,1,2,.500,2,3,5,1,0,0,2,3,23,-11,New York Knicks,Houston Rockets,2024-02-12
3,Alperen Şengün,35:36,6,10,.600,0,0,,6,8,.750,0,3,3,6,1,3,3,3,18,-6,New York Knicks,Houston Rockets,2024-02-12
4,Jalen Green,29:48,4,15,.267,0,6,.000,8,9,.889,0,5,5,4,2,0,1,0,16,-6,New York Knicks,Houston Rockets,2024-02-12
6,Aaron Holiday,26:05,7,14,.500,2,6,.333,2,4,.500,1,2,3,4,0,0,0,3,18,+8,New York Knicks,Houston Rockets,2024-02-12
7,Jeff Green,15:09,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,+11,New York Knicks,Houston Rockets,2024-02-12
8,Jae'Sean Tate,12:23,1,4,.250,0,0,,0,0,,1,0,1,0,4,0,1,2,2,+6,New York Knicks,Houston Rockets,2024-02-12
9,Jeenathan Williams,8:02,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+15,New York Knicks,Houston Rockets,2024-02-12
10,Reggie Bullock,0:0,New York Knicks,Houston Rockets,2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Nate Hinton,0:0,New York Knicks,Houston Rockets,2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Jock Landale,0:0,New York Knicks,Houston Rockets,2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Boban Marjanović,0:0,New York Knicks,Houston Rockets,2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Jermaine Samuels,0:0,New York Knicks,Houston Rockets,2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
