Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Mikal Bridges,27,56,56,1972,10.6,23.6,0.449,3.6,9.8,0.364,7.0,13.8,0.51,5.2,6.3,0.827,1.1,5.6,6.8,5.2,1.3,0.6,3.0,2.1,30.0,,112,119
2,Spencer Dinwiddie,30,48,48,1474,6.5,16.6,0.391,3.0,9.3,0.32,3.5,7.4,0.48,4.2,5.3,0.781,0.9,4.4,5.3,9.6,1.3,0.3,2.1,2.9,20.1,,118,120
3,Cam Thomas,22,47,32,1402,12.5,28.5,0.439,3.3,9.2,0.355,9.2,19.3,0.478,6.4,7.6,0.843,0.6,4.1,4.7,4.3,1.2,0.4,3.0,3.4,34.6,,108,120
4,Nic Claxton,24,46,46,1356,8.8,14.2,0.621,0.0,0.1,0.25,8.8,14.1,0.625,2.4,4.1,0.57,4.8,12.0,16.8,3.2,1.1,3.7,2.0,4.2,20.0,,126,112
5,Dorian Finney-Smith,30,47,36,1310,5.5,13.6,0.409,3.4,9.1,0.373,2.1,4.4,0.483,0.7,1.0,0.679,2.9,5.3,8.2,2.4,1.3,1.0,1.4,4.1,15.2,,113,119
6,Royce O'Neale,30,49,6,1202,5.1,13.3,0.388,4.0,10.8,0.366,1.2,2.4,0.483,0.6,0.9,0.682,1.6,7.5,9.0,5.6,1.3,1.2,2.1,4.9,14.9,,112,117
7,Cameron Johnson,27,43,40,1199,8.6,19.3,0.446,4.2,10.8,0.388,4.4,8.5,0.519,2.3,3.0,0.753,1.9,6.3,8.2,4.5,1.4,0.5,1.6,3.3,23.6,,118,119
8,Dennis Smith Jr.,26,40,1,791,7.0,16.2,0.433,1.2,4.5,0.274,5.8,11.7,0.495,2.1,2.7,0.791,2.5,5.8,8.3,9.6,2.9,0.6,3.2,5.6,17.4,,110,115
9,Lonnie Walker IV,25,36,0,649,11.2,24.1,0.464,5.7,13.2,0.431,5.5,11.0,0.503,2.6,3.5,0.761,0.7,5.0,5.7,4.2,1.9,0.8,2.8,3.3,30.7,,112,118
10,Day'Ron Sharpe,22,41,1,641,9.2,15.8,0.58,0.2,0.6,0.25,9.0,15.2,0.593,4.7,7.5,0.622,8.6,12.6,21.2,4.4,1.5,2.4,3.4,7.2,23.2,,123,112
11,Trendon Watford,23,39,0,463,9.6,17.7,0.545,1.4,3.6,0.382,8.3,14.1,0.586,3.8,4.3,0.878,3.4,7.4,10.8,5.8,1.6,1.0,2.8,6.6,24.5,,124,117
12,Ben Simmons,27,14,12,345,5.8,10.2,0.569,0.0,0.0,,5.8,10.2,0.569,0.9,2.1,0.4,4.1,11.9,16.1,11.8,1.7,1.3,3.8,4.7,12.5,,119,114
13,Jalen Wilson,23,18,1,238,6.4,12.8,0.5,2.3,4.5,0.5,4.1,8.2,0.5,3.5,3.9,0.895,3.9,4.7,8.7,4.3,1.0,0.2,0.8,3.9,18.6,,141,121
14,Dennis Schröder,30,5,1,128,6.1,19.9,0.308,2.7,8.0,0.333,3.4,11.9,0.29,0.8,1.9,0.4,0.0,5.4,5.4,7.7,0.0,0.0,3.8,4.6,15.7,,81,123
15,Armoni Brooks,25,10,0,104,7.1,21.7,0.326,5.2,15.1,0.344,1.9,6.6,0.286,0.5,0.9,0.5,3.3,5.2,8.5,2.4,0.5,0.5,1.4,1.4,19.8,,98,122
16,Harry Giles,25,16,0,81,13.3,26.7,0.5,1.8,6.7,0.273,11.5,20.0,0.576,4.2,7.9,0.538,7.3,8.5,15.7,3.6,0.6,1.8,3.6,9.1,32.7,,109,117
17,Noah Clowney,19,7,0,69,7.8,12.8,0.611,0.7,2.8,0.25,7.1,10.0,0.714,4.3,4.3,1.0,4.3,5.0,9.2,4.3,0.0,0.7,2.1,3.6,20.6,,138,122
18,Keon Johnson,21,3,0,47,6.3,16.7,0.375,4.2,8.4,0.5,2.1,8.4,0.25,8.4,8.4,1.0,2.1,2.1,4.2,3.1,3.1,1.0,3.1,3.1,25.1,,119,116
19,Dariq Whitehead,19,2,0,24,2.0,10.2,0.2,0.0,6.1,0.0,2.0,4.1,0.5,2.0,4.1,0.5,0.0,8.2,8.2,6.1,0.0,2.0,0.0,0.0,6.1,,83,119
20,Keita Bates-Diop,28,3,0,20,9.8,12.3,0.8,2.5,2.5,1.0,7.4,9.8,0.75,0.0,0.0,,0.0,4.9,4.9,0.0,2.5,2.5,2.5,0.0,22.1,,129,115
