No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
44,Paul Reed,C,6-9,210,"June 14, 1999",us,3,DePaul
0,Tyrese Maxey,PG,6-2,200,"November 4, 2000",us,3,Kentucky
12,Tobias Harris,PF,6-8,226,"July 15, 1992",us,12,Tennessee
9,Kelly Oubre Jr.,SF,6-7,203,"December 9, 1995",us,8,Kansas
1,KJ Martin,SF,6-6,215,"January 6, 2001",us,3,
8,De'Anthony Melton,SG,6-2,200,"May 28, 1998",us,5,USC
"5, 7",Mo Bamba,C,7-0,231,"May 12, 1998",us,5,Texas
21,Joel Embiid,C,7-0,280,"March 16, 1994",cm,7,Kansas
40,Nicolas Batum,PF,6-8,230,"December 14, 1988",fr,15,
33,Robert Covington,SF,6-7,209,"December 14, 1990",us,10,Tennessee State
16,Ricky Council IV (TW),SG,6-6,205,"August 3, 2001",us,R,"Wichita State, Arkansas"
23,Terquavion Smith (TW),PG,6-4,165,"December 31, 2002",us,R,NC State
17,Buddy Hield,SG,6-4,220,"December 17, 1992",bs,7,Oklahoma
22,Cameron Payne,PG,6-3,183,"August 8, 1994",us,8,Murray State
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us,17,Villanova
35,Kenneth Lofton Jr. (TW),PF,6-7,275,"August 14, 2002",us,1,Louisiana Tech
25,Darius Bazley,PF,6-8,208,"June 12, 2000",us,4,
