Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
1,Tyrese Maxey,23,52,1941,0.448,14.5,,0.598,0.23,0.234,0.092,0.042,0.402,,0.495,0.669,0.391,0.385,0.364,0.378,,0.341,0.627,,0.006,6,,0.065,0.667,,1,0
2,Tobias Harris,31,51,1722,0.499,11.1,,0.747,0.299,0.26,0.137,0.052,0.253,,0.553,0.682,0.434,0.576,0.343,0.341,,0.432,0.931,,0.053,34,,0.235,0.375,,0,0
3,Kelly Oubre Jr.,28,45,1309,0.456,12.6,,0.608,0.334,0.204,0.052,0.017,0.392,,0.55,0.703,0.352,0.407,0.333,0.312,,0.564,0.857,,0.128,55,,0.292,0.339,,0,0
4,Joel Embiid,29,34,1157,0.533,11.9,,0.851,0.233,0.198,0.243,0.178,0.149,,0.562,0.744,0.47,0.492,0.522,0.366,,0.532,0.805,,0.029,19,,0.027,0.333,,1,0
5,Paul Reed,24,57,1035,0.544,7.3,,0.886,0.427,0.306,0.098,0.055,0.114,,0.57,0.718,0.404,0.5,0.471,0.343,,0.6,0.917,,0.104,29,,0.314,0.273,,0,0
6,De'Anthony Melton,25,35,993,0.393,17.5,,0.408,0.185,0.15,0.032,0.04,0.592,,0.433,0.547,0.346,0.273,0.357,0.366,,0.475,0.8,,0.029,10,,0.176,0.333,,0,0
7,Patrick Beverley,35,47,919,0.432,14.9,,0.548,0.154,0.315,0.066,0.012,0.452,,0.523,0.703,0.474,0.375,0.333,0.321,,0.348,0.771,,0.004,1,,0.22,0.583,,0,0
8,Nicolas Batum,35,34,828,0.523,19.1,,0.28,0.205,0.03,0.03,0.015,0.72,,0.676,0.704,0.75,0.5,0.5,0.463,,0.6,1.0,,0.015,2,,0.442,0.548,,0,0
9,Marcus Morris,34,37,637,0.439,17.8,,0.561,0.093,0.122,0.161,0.185,0.439,,0.47,0.684,0.32,0.545,0.395,0.4,,0.444,0.972,,0.01,2,,0.267,0.375,,0,0
