Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Unnamed: 14_level_0,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Rk,Player,Age,G,MP,Unnamed: 5_level_1,FG,2P,3P,eFG,FT,TS,FTr,3PAr,Unnamed: 14_level_1,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Unnamed: 23_level_1,FG Add,TS Add
1.0,Jerami Grant,29.0,49.0,1666.0,,0.453,0.478,0.4,0.517,0.809,0.573,0.369,0.321,,95.0,88.0,109.0,94.0,103.0,98.0,146.0,82.0,,-48.7,-16.2
2.0,Toumani Camara,23.0,55.0,1296.0,,0.43,0.52,0.299,0.491,0.724,0.521,0.23,0.406,,90.0,95.0,81.0,90.0,92.0,90.0,91.0,104.0,,-37.4,-43.9
3.0,Matisse Thybulle,26.0,54.0,1247.0,,0.38,0.508,0.34,0.51,0.8,0.523,0.078,0.764,,80.0,93.0,93.0,93.0,102.0,90.0,31.0,195.0,,-19.6,-31.5
4.0,Deandre Ayton,25.0,39.0,1245.0,,0.568,0.568,,0.568,0.824,0.585,0.112,0.0,,119.0,104.0,,104.0,105.0,101.0,44.0,0.0,,18.6,3.2
5.0,Scoot Henderson,19.0,43.0,1160.0,,0.375,0.408,0.31,0.427,0.818,0.484,0.292,0.332,,79.0,75.0,84.0,78.0,104.0,83.0,116.0,85.0,,-122.2,-111.6
6.0,Jabari Walker,21.0,52.0,1140.0,,0.463,0.547,0.267,0.503,0.754,0.549,0.338,0.3,,97.0,100.0,73.0,92.0,96.0,94.0,134.0,76.0,,-30.1,-25.5
7.0,Malcolm Brogdon,31.0,39.0,1121.0,,0.44,0.458,0.412,0.522,0.819,0.56,0.234,0.401,,92.0,84.0,112.0,95.0,105.0,96.0,93.0,102.0,,-25.2,-23.6
8.0,Anfernee Simons,24.0,33.0,1110.0,,0.427,0.47,0.38,0.517,0.915,0.563,0.216,0.477,,90.0,86.0,103.0,94.0,117.0,97.0,86.0,122.0,,-36.3,-25.1
9.0,Shaedon Sharpe,20.0,32.0,1059.0,,0.406,0.457,0.333,0.475,0.824,0.524,0.274,0.415,,85.0,84.0,91.0,87.0,105.0,90.0,109.0,106.0,,-63.3,-56.0
10.0,Duop Reath,27.0,42.0,722.0,,0.471,0.57,0.376,0.567,0.737,0.588,0.196,0.512,,99.0,105.0,102.0,104.0,94.0,101.0,78.0,131.0,,11.3,4.2
11.0,Kris Murray,23.0,36.0,514.0,,0.394,0.5,0.284,0.464,0.545,0.474,0.161,0.489,,83.0,92.0,77.0,85.0,70.0,81.0,64.0,125.0,,-23.0,-31.7
12.0,Skylar Mays,26.0,21.0,356.0,,0.384,0.438,0.286,0.435,0.765,0.457,0.123,0.355,,81.0,80.0,78.0,79.0,98.0,79.0,49.0,91.0,,-31.1,-36.3
13.0,Ibou Badji,21.0,17.0,199.0,,0.632,0.632,,0.632,0.5,0.62,0.526,0.0,,133.0,116.0,,115.0,64.0,106.0,209.0,0.0,,3.2,1.8
14.0,Justin Minaya,24.0,19.0,151.0,,0.24,0.333,0.188,0.3,0.5,0.326,0.24,0.64,,50.0,61.0,51.0,55.0,64.0,56.0,95.0,163.0,,-12.4,-14.2
15.0,Rayan Rupert,19.0,16.0,119.0,,0.349,0.308,0.412,0.43,0.625,0.451,0.186,0.395,,73.0,56.0,112.0,79.0,80.0,78.0,74.0,101.0,,-10.1,-12.1
16.0,Robert Williams,26.0,6.0,119.0,,0.654,0.654,,0.654,0.778,0.684,0.346,0.0,,137.0,120.0,,119.0,99.0,118.0,137.0,0.0,,5.5,6.1
17.0,Dalano Banton,24.0,5.0,97.0,,0.439,0.483,0.333,0.488,0.619,0.527,0.512,0.293,,92.0,88.0,91.0,89.0,79.0,91.0,203.0,75.0,,-4.9,-5.5
18.0,Moses Brown,24.0,9.0,82.0,,0.429,0.429,,0.429,0.0,0.395,0.19,0.0,,90.0,79.0,,78.0,0.0,68.0,75.0,0.0,,-5.0,-8.5
19.0,Ashton Hagans,24.0,6.0,73.0,,0.412,0.538,0.0,0.412,0.5,0.426,0.235,0.235,,87.0,99.0,0.0,75.0,64.0,73.0,93.0,60.0,,-4.6,-5.8
20.0,Jamaree Bouyea,24.0,6.0,57.0,,0.238,0.385,0.0,0.238,,0.238,0.0,0.381,,50.0,71.0,0.0,43.0,,41.0,0.0,97.0,,-13.0,-14.4
21.0,Ish Wainright,29.0,7.0,46.0,,0.333,0.0,0.375,0.5,1.0,0.53,0.111,0.889,,70.0,0.0,102.0,91.0,128.0,91.0,44.0,227.0,,-1.7,-2.0
22.0,Taze Moore,25.0,3.0,10.0,,0.6,1.0,0.0,0.6,,0.6,0.0,0.4,,126.0,183.0,0.0,110.0,,103.0,0.0,102.0,,0.5,0.2
,Team,,,,,0.438,0.491,0.348,0.503,0.793,0.542,0.245,0.371,,92.0,90.0,95.0,92.0,101.0,93.0,97.0,95.0,,-449.5,-448.4
,,,,,,,,,,,,,,,,,,,,,,,,,
,League Average,,,,,0.476,0.546,0.367,0.548,0.783,0.582,0.252,0.392,,,,,,,,,,,,
