,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Terry Rozier,40:42,.592,.579,.316,.053,0.0,8.6,4.2,30.1,1.1,2.2,9.3,22.2,117,131,-0.6
1,P.J. Washington,35:22,.519,.536,.214,.071,9.3,29.8,19.2,7.2,0.0,0.0,6.5,18.4,107,131,-7.8
2,Gordon Hayward,31:16,.656,.636,.182,.091,0.0,0.0,0.0,20.3,3.0,2.8,0.0,15.4,138,127,2.4
3,Mark Williams,23:13,1.014,1.000,.000,.250,4.7,30.3,17.0,6.8,0.0,0.0,10.1,17.9,177,131,6.2
4,LaMelo Ball,21:45,.311,.250,.500,.167,0.0,16.1,7.8,43.7,4.3,0.0,18.9,30.8,75,123,-14.1
5,player,,,,,,,,,,,,,,,,
6,Brandon Miller,36:08,.590,.500,.313,.375,12.1,16.2,14.1,7.0,0.0,2.5,0.0,21.8,132,132,-1.4
7,Théo Maledon,20:21,.402,.222,.556,.556,0.0,5.8,2.8,11.2,4.6,0.0,0.0,23.2,95,125,-6.6
8,JT Thor,18:37,.583,.583,.667,.000,0.0,12.6,6.1,19.7,0.0,0.0,14.3,15.9,107,134,-2.8
9,Nick Richards,12:36,1.064,1.000,.000,2.000,0.0,18.6,9.0,8.8,3.7,14.1,34.7,9.6,140,115,2.9
10,Amari Bailey,Did Not Play,,,,,,,,,,,,,,,
11,Leaky Black,Did Not Play,,,,,,,,,,,,,,,
12,Miles Bridges,Not With Team,,,,,,,,,,,,,,,
13,Bryce McGowens,Did Not Play,,,,,,,,,,,,,,,
14,Nick Smith Jr.,Did Not Play,,,,,,,,,,,,,,,
