,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Stephen Curry,35:10,.515,.458,.625,.208,0.0,18.4,8.5,32.3,1.4,0.0,3.7,33.7,124,137,-1.2
1,Klay Thompson,33:59,.693,.658,.789,.316,6.6,15.3,10.6,23.4,1.5,3.1,4.4,29.0,147,135,8.5
2,Andrew Wiggins,30:44,.654,.654,.385,.000,10.9,8.4,9.8,34.2,1.6,3.4,0.0,18.4,163,135,6.7
3,Dario Šarić,28:10,.773,.833,.500,.667,4.0,27.6,14.9,24.2,3.5,0.0,0.0,12.0,176,131,7.1
4,Kevon Looney,26:30,.922,1.000,.000,.500,12.6,9.8,11.3,4.3,0.0,3.9,0.0,8.0,199,138,-3.4
5,player,,,,,,,,,,,,,,,,
6,Brandin Podziemski,27:13,.296,.250,.500,.125,4.1,9.5,6.6,15.5,0.0,0.0,0.0,13.5,105,141,-15.1
7,Jonathan Kuminga,24:16,.901,.917,.333,.250,0.0,26.7,12.4,6.3,2.1,0.0,0.0,23.9,172,134,10.5
8,Trayce Jackson-Davis,17:04,.804,.800,.000,1.400,19.6,30.4,24.6,14.9,2.9,6.1,11.0,23.2,161,127,6.8
9,Cory Joseph,12:50,.333,.333,.333,.000,0.0,10.1,4.7,16.5,0.0,0.0,0.0,10.2,110,141,-13.0
10,Jerome Robinson,4:04,.568,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,122,142,-11.9
11,Draymond Green,Did Not Play,,,,,,,,,,,,,,,
12,Lester Quinones,Did Not Play,,,,,,,,,,,,,,,
