,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Stephen Curry,37:03,.605,.500,.600,.450,9.0,16.5,13.2,26.2,0.0,2.8,17.3,32.9,116,120,0.0
1,Andrew Wiggins,35:55,.703,.667,.278,.333,6.2,19.4,13.6,15.8,0.0,0.0,12.7,27.7,128,120,1.1
2,Klay Thompson,35:47,.601,.536,.643,.429,0.0,22.0,12.3,8.4,1.3,5.7,15.3,23.1,106,114,0.0
3,Draymond Green,33:13,.500,.500,.500,.000,0.0,15.8,8.8,12.2,0.0,6.1,33.3,15.2,75,118,-7.3
4,Kevon Looney,29:11,.362,.000,.000,4.000,3.8,12.0,8.4,8.2,1.6,0.0,0.0,4.0,126,119,-4.1
5,player,,,,,,,,,,,,,,,,
6,Dario Šarić,17:07,.635,.571,.571,.286,6.5,5.1,5.7,26.6,0.0,0.0,0.0,19.4,149,124,3.8
7,Gary Payton II,16:31,.788,.750,.250,.250,6.8,21.1,14.8,9.3,5.5,6.2,18.4,13.8,136,104,7.9
8,Moses Moody,13:05,1.375,1.375,.750,.000,8.5,0.0,3.7,29.0,0.0,0.0,0.0,12.9,264,126,23.3
9,Jonathan Kuminga,9:34,.000,.000,.333,.000,0.0,9.1,5.1,0.0,0.0,0.0,40.0,22.0,0,122,-34.3
10,Cory Joseph,7:57,.694,.500,.000,1.000,0.0,32.9,18.5,53.3,0.0,0.0,0.0,15.2,175,117,11.7
11,Chris Paul,4:36,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,19.9,0.0,0.0,18.3,136,82,26.5
12,Trayce Jackson-Davis,Did Not Play,,,,,,,,,,,,,,,
13,Brandin Podziemski,Did Not Play,,,,,,,,,,,,,,,
14,Gui Santos,Did Not Play,,,,,,,,,,,,,,,
