,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,OG Anunoby,36:31,.417,.417,.500,.000,4.3,3.0,3.8,7.8,0.0,0.0,14.3,15.8,83,126,-11.5
1,Scottie Barnes,36:19,.401,.342,.368,.263,8.7,21.0,13.8,24.5,4.0,0.0,4.5,25.2,100,111,1.7
2,Pascal Siakam,34:58,.403,.333,.222,.389,4.5,25.0,13.1,8.9,1.4,0.0,8.7,27.2,85,115,-8.2
3,Dennis Schröder,32:01,.429,.400,.333,.200,2.5,13.6,7.1,42.8,1.5,0.0,0.0,21.0,113,119,0.5
4,Jakob Poeltl,24:39,.600,.600,.000,.000,9.6,26.6,16.7,23.5,2.0,7.6,16.7,10.0,129,109,3.3
5,player,,,,,,,,,,,,,,,,
6,Gary Trent Jr.,24:46,.625,.625,.333,.000,0.0,8.8,3.7,7.6,2.0,0.0,0.0,20.0,122,120,1.3
7,Malachi Flynn,15:59,.500,.500,.600,.000,0.0,0.0,0.0,9.1,0.0,0.0,0.0,12.9,108,127,-7.8
8,Jalen McDaniels,13:02,.625,.625,.250,.000,6.0,8.4,7.0,11.6,7.4,7.2,0.0,12.7,137,103,10.9
9,Chris Boucher,12:07,.929,.929,.571,.000,6.5,0.0,3.8,0.0,4.0,0.0,0.0,23.8,169,118,23.2
10,Precious Achiuwa,9:37,.087,.000,.500,1.000,8.2,22.7,14.3,12.8,5.0,0.0,14.8,29.0,34,107,-24.6
11,Otto Porter Jr.,Did Not Play,,,,,,,,,,,,,,,
12,Garrett Temple,Did Not Play,,,,,,,,,,,,,,,
13,Thaddeus Young,Did Not Play,,,,,,,,,,,,,,,
