,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Kyle Kuzma,37:20,.654,.611,.333,.333,3.1,15.3,9.2,4.0,1.2,4.4,22.5,29.4,100,122,-5.1
1,Jordan Poole,30:20,.439,.250,.417,.750,0.0,15.1,7.5,15.7,1.5,0.0,11.1,24.4,95,124,-10.8
2,Daniel Gafford,27:20,.688,.700,.000,.700,16.7,29.3,23.0,16.1,0.0,9.1,7.1,21.2,144,118,5.3
3,Tyus Jones,25:50,.650,.650,.500,.000,0.0,13.3,6.6,31.2,3.5,0.0,0.0,15.9,147,120,6.8
4,Deni Avdija,20:27,.381,.286,.286,.286,0.0,16.8,8.4,29.1,0.0,0.0,0.0,15.9,110,127,-3.1
5,player,,,,,,,,,,,,,,,,
6,Bilal Coulibaly,31:37,.857,.857,.000,.000,3.6,14.5,9.0,0.0,4.3,0.0,22.2,11.7,124,118,1.2
7,Corey Kispert,22:39,.588,.545,.545,.364,0.0,5.0,2.5,17.4,0.0,0.0,0.0,23.2,129,130,1.3
8,Danilo Gallinari,20:40,.875,.875,.250,.000,5.5,27.6,16.6,6.1,2.2,0.0,20.0,10.0,140,120,0.9
9,Landry Shamet,17:35,.697,.813,.375,.375,0.0,0.0,0.0,17.4,0.0,0.0,17.7,26.5,108,130,-3.1
10,Johnny Davis,6:10,.000,.000,.000,.000,18.5,0.0,9.3,0.0,0.0,0.0,0.0,13.3,44,131,-20.2
11,Patrick Baldwin Jr.,Did Not Play,,,,,,,,,,,,,,,
12,Jared Butler,Did Not Play,,,,,,,,,,,,,,,
13,Anthony Gill,Did Not Play,,,,,,,,,,,,,,,
14,Mike Muscala,Did Not Play,,,,,,,,,,,,,,,
15,Eugene Omoruyi,Did Not Play,,,,,,,,,,,,,,,
