,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Trae Young,36:44,13,28,.464,5,13,.385,1,2,.500,2,0,2,12,2,0,4,0,32,-8
1,Saddiq Bey,36:19,5,7,.714,4,6,.667,3,4,.750,3,6,9,1,0,0,0,2,17,-3
2,Dejounte Murray,34:00,12,19,.632,4,6,.667,2,2,1.000,0,2,2,3,2,0,2,0,30,-7
3,De'Andre Hunter,30:50,3,10,.300,0,2,.000,6,6,1.000,0,1,1,0,2,0,2,2,12,+6
4,Clint Capela,30:10,4,13,.308,0,0,,2,2,1.000,8,9,17,4,1,3,2,4,10,+1
5,player,,,,,,,,,,,,,,,,,,,,
6,Onyeka Okongwu,27:04,2,4,.500,0,2,.000,1,3,.333,1,3,4,3,0,0,0,3,5,-19
7,Bogdan Bogdanović,25:16,6,18,.333,2,7,.286,0,0,,0,3,3,0,2,1,0,2,14,-7
8,Wesley Matthews,12:09,0,2,.000,0,2,.000,1,2,.500,0,1,1,0,2,0,0,0,1,-13
9,Garrison Mathews,7:28,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-5
10,Bruno Fernando,Did Not Play,,,,,,,,,,,,,,,,,,,
11,Trent Forrest,Did Not Play,,,,,,,,,,,,,,,,,,,
12,AJ Griffin,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Patty Mills,Did Not Play,,,,,,,,,,,,,,,,,,,
