,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Brandin Podziemski,34:24,4,7,.571,3,4,.750,2,2,1.000,4,5,9,6,5,0,2,1,13,+1
1,Stephen Curry,34:20,7,21,.333,3,13,.231,1,1,1.000,1,1,2,4,1,1,3,4,18,-26
2,Klay Thompson,32:06,3,12,.250,3,10,.300,0,0,,0,6,6,1,1,1,3,1,9,-2
3,Jonathan Kuminga,23:02,4,8,.500,0,1,.000,5,8,.625,0,5,5,2,0,0,1,1,13,-24
4,Kevon Looney,21:36,2,3,.667,0,0,,0,0,,0,3,3,2,0,0,1,3,4,-9
5,player,,,,,,,,,,,,,,,,,,,,
6,Andrew Wiggins,28:49,7,11,.636,2,4,.500,6,6,1.000,1,2,3,2,0,1,2,5,22,+18
7,Chris Paul,28:21,5,10,.500,3,5,.600,0,0,,1,2,3,3,0,0,1,1,13,+13
8,Dario Šarić,19:55,5,11,.455,0,3,.000,4,4,1.000,2,3,5,2,0,0,0,2,14,+11
9,Trayce Jackson-Davis,14:55,3,4,.750,0,0,,2,2,1.000,0,3,3,1,0,0,0,5,8,-4
10,Moses Moody,2:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-8
11,Usman Garuba,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Draymond Green,Player Suspended,,,,,,,,,,,,,,,,,,,
13,Cory Joseph,Did Not Play,,,,,,,,,,,,,,,,,,,
14,Gui Santos,Did Not Play,,,,,,,,,,,,,,,,,,,
