,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Herbert Jones,36:54,6,11,.545,4,5,.800,0,0,,0,3,3,2,1,1,3,3,16,+10
1,Brandon Ingram,32:17,7,11,.636,1,3,.333,4,5,.800,0,4,4,7,2,0,3,3,19,+13
2,CJ McCollum,29:40,8,16,.500,4,6,.667,4,4,1.000,0,3,3,5,0,1,2,2,24,+12
3,Zion Williamson,28:37,11,15,.733,0,0,,5,6,.833,1,3,4,6,1,1,2,3,27,+20
4,Jonas Valančiūnas,20:22,2,5,.400,0,2,.000,0,0,,1,6,7,3,0,0,1,5,4,+14
5,player,,,,,,,,,,,,,,,,,,,,
6,Jose Alvarado,27:03,3,8,.375,2,6,.333,0,0,,1,2,3,3,0,1,1,3,8,+2
7,Dyson Daniels,23:31,2,3,.667,1,1,1.000,2,2,1.000,2,3,5,1,1,0,0,0,7,-1
8,Larry Nance Jr.,22:26,4,6,.667,0,0,,0,0,,3,6,9,2,1,1,0,1,8,-2
9,Naji Marshall,14:08,1,4,.250,0,2,.000,0,0,,0,2,2,0,1,0,0,4,2,-10
10,Jordan Hawkins,2:52,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-1
11,Cody Zeller,2:10,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-2
12,Kira Lewis Jr.,Did Not Play,,,,,,,,,,,,,,,,,,,
13,Jeremiah Robinson-Earl,Did Not Play,,,,,,,,,,,,,,,,,,,
