,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Josh Hart,43:07,6,12,.500,3,6,.500,1,2,.500,2,7,9,3,1,0,2,4,16,-10
1,Jalen Brunson,38:46,10,21,.476,3,7,.429,3,5,.600,0,3,3,4,1,0,2,0,26,-20
2,Julius Randle,37:42,7,19,.368,2,8,.250,9,11,.818,3,6,9,5,0,0,3,4,25,-10
3,Mitchell Robinson,33:10,2,2,1.000,0,0,,0,2,.000,3,3,6,1,1,2,1,2,4,-14
4,Quentin Grimes,28:25,4,6,.667,4,6,.667,0,0,,0,0,0,1,0,0,0,2,12,-10
5,player,,,,,,,,,,,,,,,,,,,,
6,Immanuel Quickley,25:34,1,10,.100,1,2,.500,4,4,1.000,0,6,6,1,1,0,0,3,7,-12
7,Donte DiVincenzo,16:24,2,6,.333,1,4,.250,0,0,,1,0,1,1,0,0,0,1,5,-3
8,Isaiah Hartenstein,14:49,1,2,.500,1,1,1.000,0,0,,3,0,3,1,1,0,0,0,3,-2
9,Miles McBride,1:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
10,Jericho Sims,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
11,Ryan Arcidiacono,Did Not Play,,,,,,,,,,,,,,,,,,,
12,RJ Barrett,Did Not Dress,,,,,,,,,,,,,,,,,,,
13,DaQuan Jeffries,Did Not Play,,,,,,,,,,,,,,,,,,,
