,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Jalen Brunson,36:09,7,15,.467,3,6,.500,8,8,1.000,0,4,4,6,0,0,1,2,25,-16
1,Julius Randle,33:33,6,16,.375,1,6,.167,8,12,.667,3,11,14,1,0,0,2,2,21,-13
2,Mitchell Robinson,30:27,5,7,.714,0,0,,0,0,,7,4,11,0,2,2,2,3,10,-11
3,Quentin Grimes,24:47,0,6,.000,0,6,.000,0,0,,0,1,1,2,2,0,0,2,0,-18
4,RJ Barrett,21:58,4,13,.308,3,4,.750,3,4,.750,2,5,7,1,1,0,4,5,14,-13
5,player,,,,,,,,,,,,,,,,,,,,
6,Donte DiVincenzo,25:34,2,8,.250,1,6,.167,2,2,1.000,2,1,3,5,1,0,0,3,7,+3
7,Josh Hart,24:09,2,6,.333,0,2,.000,0,0,,1,1,2,1,2,0,0,0,4,-5
8,Immanuel Quickley,17:09,4,14,.286,1,7,.143,6,6,1.000,0,1,1,0,0,0,0,3,15,-6
9,Isaiah Hartenstein,14:28,1,3,.333,0,0,,0,0,,2,2,4,0,0,1,1,3,2,-6
10,Jericho Sims,3:05,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0
11,Ryan Arcidiacono,3:05,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
12,DaQuan Jeffries,3:05,0,3,.000,0,1,.000,0,2,.000,0,1,1,0,0,0,0,0,0,0
13,Miles McBride,2:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
