,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Franz Wagner,38:24,10,17,.588,2,4,.500,6,8,.750,0,8,8,9,1,1,2,3,28,+26
1,Paolo Banchero,38:14,10,22,.455,0,1,.000,4,8,.500,1,2,3,8,1,1,3,1,24,0
2,Anthony Black,32:35,9,13,.692,4,6,.667,1,1,1.000,1,5,6,1,4,0,5,4,23,-2
3,Jalen Suggs,29:13,4,11,.364,3,10,.300,0,0,,1,2,3,1,3,1,2,1,11,-1
4,Wendell Carter Jr.,21:19,2,3,.667,1,1,1.000,1,2,.500,0,4,4,2,0,1,2,1,6,+12
5,player,,,,,,,,,,,,,,,,,,,,
6,Cole Anthony,22:35,4,11,.364,1,3,.333,2,2,1.000,0,3,3,4,1,0,1,2,11,+5
7,Gary Harris,19:16,1,2,.500,1,1,1.000,0,0,,0,0,0,1,1,0,1,3,3,+4
8,Moritz Wagner,15:10,5,9,.556,0,0,,1,2,.500,0,5,5,1,0,0,0,1,11,-3
9,Caleb Houstan,11:43,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
10,Goga Bitadze,11:31,4,5,.800,0,0,,2,2,1.000,4,3,7,3,0,1,0,0,10,-1
11,Chuma Okeke,Did Not Play,,,,,,,,,,,,,,,,,,,
