Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Zach LaVine,38:26,0.527,0.5,0.286,0.19,3.1,18.3,10.8,20.5,1.3,2.4,8.1,29.4,110.0,114.0,1.1
1,Nikola Vučević,35:43,0.5,0.5,0.077,0.0,20.2,22.9,21.6,11.5,0.0,0.0,0.0,16.6,130.0,118.0,-0.2
2,Coby White,35:25,0.503,0.471,0.471,0.118,3.4,6.6,5.0,8.1,0.0,2.7,10.1,25.6,100.0,120.0,-4.5
3,DeMar DeRozan,33:28,0.551,0.5,0.2,0.2,3.6,0.0,1.8,19.1,0.0,0.0,0.0,29.7,125.0,123.0,2.3
4,Torrey Craig,23:10,0.375,0.375,0.5,0.0,0.0,30.3,15.3,20.2,2.2,0.0,20.0,9.9,95.0,111.0,-1.4
6,Alex Caruso,26:17,0.75,0.75,1.0,0.0,0.0,8.9,4.5,8.9,0.0,3.6,0.0,3.5,169.0,118.0,-2.9
7,Patrick Williams,20:53,0.833,0.833,0.5,0.0,0.0,28.0,14.2,6.8,0.0,4.5,25.0,17.5,117.0,113.0,3.1
8,Jevon Carter,14:15,0.833,0.833,0.667,0.0,0.0,8.2,4.2,0.0,3.6,0.0,40.0,16.0,85.0,113.0,-5.3
9,Andre Drummond,12:20,0.735,1.0,0.0,1.333,0.0,38.0,19.2,0.0,4.1,0.0,17.4,21.3,106.0,105.0,1.8
10,Julian Phillips,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Terry Taylor,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Dalen Terry,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
