Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Giannis Antetokounmpo,34:42,0.621,0.614,0.136,0.636,9.9,19.1,15.2,11.5,0.0,0.0,9.6,37.2,121.0,113.0,4.6
1,Damian Lillard,32:00,0.313,0.206,0.529,0.294,7.1,2.6,4.5,20.0,0.0,0.0,20.7,31.3,75.0,123.0,-15.9
2,Brook Lopez,28:58,0.59,0.625,0.75,0.375,0.0,14.3,8.3,0.0,0.0,8.6,17.7,16.2,95.0,111.0,-2.0
3,Malik Beasley,20:59,0.75,0.75,1.0,0.0,5.4,3.9,4.6,0.0,0.0,0.0,0.0,11.8,159.0,122.0,1.4
4,Khris Middleton,19:21,0.65,0.65,0.5,0.0,5.9,21.4,14.9,18.3,2.6,0.0,16.7,25.7,116.0,105.0,4.1
6,Pat Connaughton,28:44,0.694,0.5,1.0,1.0,4.0,20.2,13.4,20.7,1.7,0.0,0.0,6.2,184.0,108.0,5.7
7,Bobby Portis,25:28,0.873,0.85,0.6,0.2,9.0,26.0,18.8,13.1,0.0,3.2,0.0,17.7,185.0,107.0,16.5
8,MarJon Beauchamp,19:45,0.571,0.571,0.571,0.0,5.8,16.8,12.2,14.0,2.5,4.2,12.5,16.8,119.0,106.0,6.8
9,Cameron Payne,17:22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.9,0.0,0.0,50.0,9.5,67.0,125.0,-11.3
10,Andre Jackson Jr.,12:41,0.625,0.625,0.75,0.0,18.0,6.5,11.4,0.0,0.0,0.0,0.0,13.1,148.0,121.0,0.9
11,Thanasis Antetokounmpo,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,A.J. Green,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Robin Lopez,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,TyTy Washington Jr.,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Lindell Wigginton,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
