Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Bam Adebayo,39:31,0.42,0.308,0.077,0.846,7.6,36.4,20.7,25.9,1.3,16.6,0.0,19.7,112.0,97.0,6.4
1,Tyler Herro,37:43,0.6,0.6,0.4,0.0,0.0,19.1,8.7,16.7,0.0,0.0,21.1,22.0,94.0,115.0,-5.1
2,Jimmy Butler,34:51,0.555,0.45,0.2,0.8,8.6,3.4,6.3,15.0,2.8,0.0,22.8,21.9,100.0,112.0,-3.1
3,Haywood Highsmith,24:01,0.667,0.667,0.667,0.0,4.2,15.0,9.1,7.4,4.1,4.5,14.3,12.7,116.0,103.0,5.0
4,Josh Richardson,18:07,0.643,0.643,0.571,0.0,0.0,19.9,9.0,23.7,0.0,6.0,12.5,19.3,114.0,111.0,1.7
6,Terry Rozier,29:23,0.379,0.318,0.455,0.182,6.8,8.2,7.4,29.1,3.4,0.0,20.2,22.1,84.0,109.0,-5.1
7,Caleb Martin,28:39,0.768,0.688,0.625,0.5,7.0,8.4,7.6,6.4,3.4,3.8,17.0,17.9,131.0,106.0,6.7
8,Duncan Robinson,15:51,0.389,0.389,0.556,0.0,0.0,22.7,10.3,0.0,0.0,0.0,18.2,30.3,62.0,114.0,-19.9
9,Thomas Bryant,6:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,-12.5
10,Kevin Love,5:06,0.0,0.0,0.667,0.0,0.0,23.5,10.7,0.0,0.0,0.0,0.0,25.7,0.0,114.0,-29.1
11,R.J. Hampton,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Nikola Jović,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Orlando Robinson,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
