Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Lauri Markkanen,31:36,0.539,0.467,0.4,0.4,6.6,22.9,15.3,4.8,3.0,0.0,5.4,23.9,121.0,120.0,1.8
1,John Collins,30:56,0.631,0.591,0.273,0.182,10.1,23.4,17.2,9.8,1.5,0.0,0.0,15.5,149.0,124.0,3.4
2,Jordan Clarkson,30:44,0.615,0.563,0.313,0.5,6.8,5.9,6.3,32.9,0.0,0.0,9.3,28.3,132.0,134.0,3.5
3,Walker Kessler,22:10,0.8,0.8,0.0,0.0,18.8,16.3,17.5,0.0,0.0,4.2,16.7,11.0,143.0,127.0,-2.0
4,Talen Horton-Tucker,21:48,0.444,0.444,0.444,0.0,0.0,4.2,2.2,25.6,0.0,4.3,10.0,18.6,106.0,132.0,-2.7
6,Collin Sexton,19:58,0.373,0.222,0.222,0.778,0.0,13.6,7.3,0.0,0.0,0.0,19.9,30.6,69.0,131.0,-21.4
7,Ochai Agbaji,19:27,0.417,0.417,0.333,0.0,0.0,14.0,7.5,0.0,0.0,0.0,0.0,12.5,97.0,131.0,-8.9
8,Keyonte George,18:53,0.735,0.7,0.6,0.2,0.0,9.6,5.1,15.2,0.0,0.0,15.5,13.8,134.0,132.0,-0.6
9,Kelly Olynyk,16:39,0.727,0.667,0.0,0.333,18.8,16.3,17.5,32.7,2.8,0.0,22.5,10.8,149.0,123.0,5.5
10,Kris Dunn,15:44,0.515,0.5,0.167,0.667,0.0,5.8,3.1,19.2,6.0,0.0,34.0,30.2,75.0,120.0,-6.4
11,Simone Fontecchio,2:25,0.5,0.5,0.5,0.0,43.2,0.0,20.1,94.0,0.0,0.0,0.0,33.5,143.0,136.0,17.6
12,Taylor Hendricks,2:25,0.568,0.0,0.0,0.0,0.0,37.5,20.1,0.0,0.0,0.0,0.0,14.7,122.0,122.0,-1.9
13,Luka Šamanić,2:25,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,105.0,136.0,-6.6
14,Brice Sensabaugh,2:25,0.0,0.0,0.0,0.0,43.2,37.5,40.1,0.0,0.0,0.0,0.0,33.5,38.0,122.0,-29.2
15,Omer Yurtseven,2:25,0.0,0.0,0.0,0.0,0.0,37.5,20.1,0.0,0.0,0.0,0.0,0.0,0.0,122.0,-3.9
