Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Zach LaVine,35:56,0.6,0.559,0.529,0.176,0.0,6.1,3.0,4.1,2.9,0.0,0.0,22.9,131.0,126.0,4.0
1,Nikola Vučević,35:39,0.618,0.618,0.176,0.0,15.3,45.9,30.6,4.7,2.9,0.0,15.0,25.2,116.0,111.0,2.8
2,Coby White,32:56,0.388,0.375,0.5,0.167,0.0,3.3,1.7,16.1,0.0,0.0,18.9,21.7,79.0,134.0,-13.3
3,DeMar DeRozan,32:48,0.512,0.385,0.077,0.462,3.3,6.7,5.0,29.5,1.6,0.0,11.3,24.2,117.0,129.0,-1.2
4,Patrick Williams,24:57,0.0,0.0,0.833,0.0,4.4,8.7,6.6,4.6,2.1,5.8,25.0,14.4,19.0,125.0,-17.3
6,Alex Caruso,22:02,0.5,0.5,0.5,0.0,9.9,9.9,9.9,6.1,2.4,6.6,25.0,16.3,92.0,123.0,-6.7
7,Torrey Craig,17:23,0.5,0.5,0.5,0.0,12.6,18.8,15.7,7.0,0.0,0.0,0.0,5.2,149.0,128.0,-5.1
8,Jevon Carter,15:21,0.857,0.857,0.286,0.0,0.0,7.1,3.6,23.7,3.4,9.5,12.5,23.4,150.0,121.0,19.5
9,Andre Drummond,12:21,0.8,0.8,0.0,0.0,8.8,17.7,13.2,0.0,8.5,0.0,0.0,18.2,164.0,108.0,10.9
10,Ayo Dosunmu,10:37,1.0,1.0,0.75,0.0,0.0,10.3,5.1,15.9,0.0,0.0,0.0,16.9,201.0,131.0,15.1
11,Julian Phillips,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Terry Taylor,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
