Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Aaron Gordon,32:20,0.504,0.5,0.154,0.154,16.5,7.1,11.9,29.6,0.0,0.0,0.0,19.2,139.0,122.0,2.8
1,Reggie Jackson,31:38,0.741,0.719,0.5,0.125,0.0,7.2,3.5,35.9,0.0,0.0,10.6,26.8,141.0,122.0,6.8
2,Michael Porter Jr.,31:38,0.479,0.438,0.5,0.25,0.0,25.3,12.2,0.0,1.7,0.0,0.0,25.2,106.0,112.0,-5.6
3,Nikola Jokić,16:24,0.4,0.4,0.0,0.0,19.5,41.8,30.3,53.0,0.0,0.0,0.0,13.7,150.0,110.0,9.1
4,Kentavious Caldwell-Pope,12:32,0.5,0.5,0.0,0.0,0.0,9.1,4.4,0.0,0.0,0.0,0.0,14.3,105.0,121.0,-11.9
6,DeAndre Jordan,24:31,0.536,0.5,0.0,2.5,17.4,28.0,22.5,11.2,2.1,8.5,19.2,19.0,112.0,105.0,-2.5
7,Julian Strawther,22:48,0.639,0.556,0.556,0.889,0.0,30.1,14.5,20.7,2.3,0.0,13.8,28.5,123.0,108.0,4.0
8,Christian Braun,22:47,0.838,0.833,0.667,0.667,4.7,5.0,4.8,13.8,0.0,4.6,27.9,21.2,119.0,120.0,3.1
9,Peyton Watson,22:43,0.291,0.167,0.0,0.333,4.7,0.0,2.4,5.7,2.3,4.6,12.7,15.5,76.0,116.0,-10.1
10,Justin Holiday,22:38,1.0,1.0,0.75,0.0,4.7,0.0,2.4,13.0,0.0,0.0,0.0,7.9,203.0,124.0,2.3
11,Zeke Nnaji,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Jalen Pickett,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Hunter Tyson,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
