Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Brandin Podziemski,34:33,0.182,0.182,0.273,0.0,12.1,11.3,11.7,7.5,4.5,2.8,21.4,17.5,60.0,123.0,-9.6
1,Stephen Curry,34:02,0.453,0.382,0.765,0.235,0.0,15.2,6.8,17.1,0.0,0.0,5.1,25.0,111.0,134.0,-5.3
2,Klay Thompson,32:03,0.895,0.867,0.8,0.267,0.0,4.0,1.8,28.2,3.2,0.0,0.0,22.5,194.0,130.0,26.0
3,Kevon Looney,25:31,0.571,0.571,0.0,0.0,20.4,10.2,15.9,29.0,2.0,0.0,12.5,13.5,144.0,131.0,5.7
4,Jonathan Kuminga,24:42,0.663,0.6,0.3,0.3,0.0,26.3,11.7,6.4,2.1,0.0,8.1,21.5,133.0,127.0,1.7
6,Chris Paul,28:46,0.607,0.556,0.556,0.222,0.0,9.0,4.0,15.0,0.0,0.0,16.8,17.8,117.0,136.0,-6.6
7,Andrew Wiggins,21:56,0.455,0.444,0.444,0.222,9.5,5.9,7.9,0.0,0.0,4.5,0.0,19.4,111.0,134.0,-8.9
8,Dario Šarić,17:16,0.5,0.5,0.8,0.0,0.0,45.1,20.1,8.1,0.0,0.0,16.7,15.0,96.0,127.0,-6.7
9,Moses Moody,15:57,0.709,0.667,0.167,0.667,13.1,24.4,18.1,10.8,3.2,0.0,20.5,26.4,123.0,125.0,4.9
10,Trayce Jackson-Davis,5:13,0.333,0.333,0.0,0.0,60.0,0.0,33.3,0.0,0.0,0.0,0.0,24.8,121.0,138.0,-9.6
11,Draymond Green,Not With Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Cory Joseph,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Gary Payton II,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
