Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Franz Wagner,36:18,0.685,0.571,0.143,0.571,3.7,18.4,11.0,0.0,1.4,0.0,5.4,23.5,139.0,120.0,-1.5
1,Paolo Banchero,36:14,0.629,0.55,0.0,0.8,3.7,22.1,12.9,21.7,1.4,0.0,10.0,38.3,125.0,120.0,2.6
2,Gary Harris,34:30,0.727,0.667,0.444,0.333,0.0,3.9,1.9,13.0,3.0,0.0,22.5,17.8,118.0,119.0,0.3
3,Anthony Black,28:27,0.84,0.667,0.0,1.333,0.0,14.1,7.0,9.5,1.8,3.5,29.6,11.0,126.0,118.0,0.3
4,Wendell Carter Jr.,16:29,0.333,0.333,0.167,0.0,24.3,40.4,32.4,35.1,0.0,0.0,14.3,19.6,107.0,120.0,-1.3
6,Cole Anthony,24:13,0.47,0.455,0.545,0.364,5.5,27.5,16.5,19.1,2.1,0.0,0.0,24.3,115.0,117.0,-1.5
7,Caleb Houstan,20:32,0.75,0.75,1.0,0.0,6.5,13.0,9.7,0.0,2.5,0.0,20.0,11.2,121.0,119.0,-1.5
8,Moritz Wagner,20:02,0.945,1.0,0.0,1.333,13.3,6.7,10.0,22.6,0.0,0.0,0.0,11.0,201.0,126.0,8.5
9,Jonathan Isaac,11:49,0.667,0.667,0.333,0.0,0.0,11.3,5.6,13.2,0.0,25.4,0.0,11.7,145.0,106.0,10.6
10,Goga Bitadze,11:26,0.568,0.0,0.0,0.0,11.7,0.0,5.8,21.5,9.0,8.7,69.4,11.6,79.0,99.0,5.0
11,Chuma Okeke,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Admiral Schofield,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
