Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jordan Poole,33:15,0.5,0.5,0.385,0.0,0.0,3.5,1.8,11.6,2.9,2.3,23.5,21.4,85.0,115.0,-9.1
1,Tyus Jones,32:29,0.469,0.469,0.25,0.0,3.7,3.6,3.6,37.3,3.0,2.4,5.9,21.9,121.0,115.0,1.0
2,Kyle Kuzma,31:38,0.455,0.389,0.222,0.222,7.6,33.3,20.6,21.4,0.0,4.9,9.2,28.8,108.0,112.0,-4.8
3,Daniel Gafford,28:16,0.694,0.75,0.0,1.0,34.0,20.7,27.3,9.5,3.4,2.7,8.0,18.6,148.0,109.0,4.7
4,Deni Avdija,25:10,0.549,0.5,0.0,0.833,9.5,27.9,18.8,23.7,1.9,3.1,26.8,18.6,107.0,110.0,-2.4
6,Bilal Coulibaly,30:37,1.009,1.0,0.333,0.167,3.9,0.0,1.9,4.1,3.2,2.5,13.4,10.2,166.0,115.0,4.3
7,Corey Kispert,19:51,0.667,0.667,0.833,0.0,0.0,23.6,11.9,18.7,0.0,3.9,14.3,14.8,128.0,115.0,1.1
8,Marvin Bagley III,19:44,0.868,0.833,0.0,1.0,0.0,17.8,9.0,7.2,0.0,0.0,36.7,29.0,101.0,120.0,-8.5
9,Landry Shamet,10:00,0.75,0.75,1.0,0.0,0.0,0.0,0.0,26.4,0.0,0.0,0.0,16.8,168.0,124.0,7.7
10,Delon Wright,9:00,0.833,0.833,0.333,0.0,0.0,26.0,13.2,15.1,0.0,0.0,0.0,14.0,173.0,118.0,4.3
11,Patrick Baldwin Jr.,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Jules Bernard,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Anthony Gill,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Trey Jemison,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
