Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,GameDetails,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
10,Aaron Wiggins,7:01,1.25,1.25,0.5,0.0,15.2,0.0,6.3,0.0,0.0,0.0,0.0,11.7,245.0,127.0,14.9,AtlantaHawksatOklahomaCityThunderBoxScore November6,,,,,,,,,,,,,,,,,,,
8,Aaron Wiggins,12:49,0.515,0.333,0.333,0.667,0.0,8.3,4.4,8.5,3.9,0.0,0.0,13.4,126.0,125.0,-3.5,BostonCelticsatOklahomaCityThunderBoxScore January2,,,,,,,,,,,,,,,,,,,
10,Aaron Wiggins,10:33,0.0,0.0,0.0,0.0,13.0,31.4,24.5,0.0,0.0,0.0,100.0,8.7,42.0,103.0,-10.2,BrooklynNetsatOklahomaCityThunderBoxScore December31,,,,,,,,,,,,,,,,,,,
7,Aaron Wiggins,19:18,0.683,0.667,0.833,0.5,0.0,10.4,6.3,27.2,2.5,0.0,12.0,20.1,133.0,108.0,2.1,CharlotteHornetsatOklahomaCityThunderBoxScore February2,,,,,,,,,,,,,,,,,,,
10,Aaron Wiggins,10:45,1.042,1.0,0.0,1.0,0.0,39.7,21.5,15.9,0.0,0.0,25.8,16.7,151.0,109.0,4.7,ChicagoBullsatOklahomaCityThunderBoxScore November22,,,,,,,,,,,,,,,,,,,
11,Aaron Wiggins,8:46,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,127.0,-21.5,ClevelandCavaliersatOklahomaCityThunderBoxScore November8,,,,,,,,,,,,,,,,,,,
6,Aaron Wiggins,24:51,0.75,0.75,0.375,0.0,3.9,11.6,7.7,14.1,0.0,0.0,0.0,14.2,158.0,113.0,5.2,DenverNuggetsatOklahomaCityThunderBoxScore January31,,,,,,,,,,,,,,,,,,,
11,Aaron Wiggins,10:08,0.644,0.667,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,125.0,141.0,-3.4,DenverNuggetsatOklahomaCityThunderBoxScore October29,,,,,,,,,,,,,,,,,,,
14,Aaron Wiggins,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DetroitPistonsatOklahomaCityThunderBoxScore October30,,,,,,,,,,,,,,,,,,,
8,Aaron Wiggins,11:25,,,,,,,,,,,,,,,,GoldenStateWarriorsatOklahomaCityThunderBoxScore December8,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,-9.0
