Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,GameDetails,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
11,Deandre Ayton,Not With Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BrooklynNetsatPortlandTrailBlazersBoxScore January17,,,,,,,,,,,,,,,,,,,
1,Deandre Ayton,37:26,0.799,0.75,0.0,0.333,3.1,30.7,17.5,6.3,0.0,2.2,0.0,16.8,161.0,108.0,9.7,ChicagoBullsatPortlandTrailBlazersBoxScore January28,,,,,,,,,,,,,,,,,,,
3,Deandre Ayton,25:48,0.3,0.3,0.0,0.0,7.8,25.7,14.5,0.0,0.0,0.0,16.7,20.3,58.0,119.0,-17.1,ClevelandCavaliersatPortlandTrailBlazersBoxScore November15,,,,,,,,,,,,,,,,,,,
3,Deandre Ayton,27:26,0.595,0.6,0.0,0.4,11.4,27.2,19.2,8.4,3.4,0.0,14.5,10.5,127.0,120.0,0.0,DallasMavericksatPortlandTrailBlazersBoxScore December16,,,,,,,,,,,,,,,,,,,
2,Deandre Ayton,32:49,0.5,0.5,0.0,0.0,10.7,18.8,14.6,4.3,0.0,3.0,11.1,12.2,110.0,126.0,-5.8,GoldenStateWarriorsatPortlandTrailBlazersBoxScore December17,,,,,,,,,,,,,,,,,,,
3,Deandre Ayton,30:12,0.4,0.4,0.0,0.0,7.9,21.7,15.1,4.9,0.0,7.2,6.3,23.5,89.0,112.0,-7.4,IndianaPacersatPortlandTrailBlazersBoxScore January19,,,,,,,,,,,,,,,,,,,
2,Deandre Ayton,37:48,0.571,0.571,0.0,0.143,17.1,15.9,16.6,9.8,2.7,0.0,21.2,20.9,106.0,112.0,-2.5,LosAngelesLakersatPortlandTrailBlazersBoxScore November17,,,,,,,,,,,,,,,,,,,
3,Deandre Ayton,12:59,,,,,,,,,,,,,,,,MemphisGrizzliesatPortlandTrailBlazersBoxScore November3,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0
3,Deandre Ayton,35:02,0.333,0.333,0.0,0.0,5.0,30.1,15.7,0.0,2.8,2.4,25.0,14.2,59.0,109.0,-12.9,MemphisGrizzliesatPortlandTrailBlazersBoxScore November5,,,,,,,,,,,,,,,,,,,
3,Deandre Ayton,35:00,0.588,0.588,0.0,0.0,10.8,27.4,19.3,3.9,1.4,2.9,5.6,23.1,121.0,115.0,-1.1,MilwaukeeBucksatPortlandTrailBlazersBoxScore January31,,,,,,,,,,,,,,,,,,,
2,Deandre Ayton,24:10,0.698,0.714,0.0,0.286,8.6,21.3,13.4,16.5,2.1,4.4,20.2,17.6,116.0,141.0,1.3,OklahomaCityThunderatPortlandTrailBlazersBoxScore November19,,,,,,,,,,,,,,,,,,,
2,Deandre Ayton,30:25,0.778,0.778,0.0,0.0,12.6,41.3,25.7,6.6,0.0,0.0,18.2,15.3,133.0,103.0,3.3,OrlandoMagicatPortlandTrailBlazersBoxScore October27,,,,,,,,,,,,,,,,,,,
1,Deandre Ayton,30:59,0.643,0.643,0.0,0.0,0.0,23.2,12.7,9.7,1.6,0.0,0.0,19.8,139.0,109.0,1.0,Philadelphia76ersatPortlandTrailBlazersBoxScore January29,,,,,,,,,,,,,,,,,,,
0,Deandre Ayton,40:26,0.405,0.333,0.0,0.222,11.0,28.4,20.0,11.2,0.0,0.0,13.2,24.5,91.0,106.0,-7.8,PhoenixSunsatPortlandTrailBlazersBoxScore December19,,,,,,,,,,,,,,,,,,,
