Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,GameDetails,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
1,Jerami Grant,35:35,0.577,0.577,0.154,0.0,14.6,14.6,14.6,5.8,0.0,0.0,7.1,37.3,116.0,120.0,2.7,BrooklynNetsatPortlandTrailBlazersBoxScore January17,,,,,,,,,,,,,,,,,,,
2,Jerami Grant,36:39,0.63,0.458,0.5,1.333,0.0,19.9,10.4,10.3,0.0,2.3,9.5,26.3,120.0,109.0,3.6,ChicagoBullsatPortlandTrailBlazersBoxScore January28,,,,,,,,,,,,,,,,,,,
0,Jerami Grant,32:28,0.475,0.441,0.353,0.118,0.0,15.3,5.8,12.5,3.1,0.0,14.4,28.1,82.0,113.0,-4.4,ClevelandCavaliersatPortlandTrailBlazersBoxScore November15,,,,,,,,,,,,,,,,,,,
0,Jerami Grant,38:29,0.633,0.625,0.2,0.15,2.7,11.1,6.9,3.9,0.0,0.0,0.0,23.2,133.0,131.0,-0.1,DallasMavericksatPortlandTrailBlazersBoxScore December16,,,,,,,,,,,,,,,,,,,
0,Jerami Grant,21:23,,,,,,,,,,,,,,,,DetroitPistonsatPortlandTrailBlazersBoxScore February8,7.0,14.0,0.5,2.0,4.0,0.5,8.0,9.0,0.889,0.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,24.0,-8.0
0,Jerami Grant,40:48,0.708,0.658,0.474,0.263,2.9,18.1,10.3,26.1,1.2,0.0,12.4,26.3,133.0,124.0,4.8,GoldenStateWarriorsatPortlandTrailBlazersBoxScore December17,,,,,,,,,,,,,,,,,,,
0,Jerami Grant,42:37,0.563,0.518,0.143,0.393,2.8,7.7,5.4,12.9,1.1,5.1,3.0,35.2,119.0,113.0,3.1,IndianaPacersatPortlandTrailBlazersBoxScore January19,,,,,,,,,,,,,,,,,,,
0,Jerami Grant,39:32,0.551,0.5,0.45,0.2,0.0,12.1,5.3,13.9,1.3,0.0,4.4,24.0,126.0,117.0,3.9,LosAngelesLakersatPortlandTrailBlazersBoxScore November17,,,,,,,,,,,,,,,,,,,
2,Jerami Grant,20:27,,,,,,,,,,,,,,,,MemphisGrizzliesatPortlandTrailBlazersBoxScore November3,4.0,11.0,0.364,1.0,3.0,0.333,4.0,8.0,0.5,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,13.0,-1.0
2,Jerami Grant,37:46,0.568,0.545,0.591,0.182,4.6,3.1,4.0,15.7,0.0,0.0,7.8,28.3,115.0,123.0,-0.1,MemphisGrizzliesatPortlandTrailBlazersBoxScore November5,,,,,,,,,,,,,,,,,,,
