Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Aaron Gordon,31:37,4.0,11.0,0.364,0.0,2.0,0.0,3.0,6.0,0.5,2.0,2.0,4.0,5.0,1.0,2.0,1.0,2.0,11.0,-18.0
1,Kentavious Caldwell-Pope,30:39,2.0,9.0,0.222,1.0,5.0,0.2,4.0,4.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,-13.0
2,Nikola Jokić,27:49,8.0,13.0,0.615,0.0,0.0,0.0,2.0,5.0,0.4,1.0,9.0,10.0,7.0,1.0,1.0,3.0,5.0,18.0,-16.0
3,Michael Porter Jr.,27:23,7.0,15.0,0.467,5.0,9.0,0.556,2.0,2.0,1.0,1.0,5.0,6.0,0.0,1.0,0.0,2.0,2.0,21.0,-31.0
4,Reggie Jackson,21:01,3.0,5.0,0.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,7.0,-28.0
6,Christian Braun,25:17,6.0,11.0,0.545,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,3.0
7,Julian Strawther,19:52,2.0,6.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,7.0,8.0
8,Jalen Pickett,19:03,2.0,4.0,0.5,2.0,3.0,0.667,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,8.0,7.0
9,Justin Holiday,17:21,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,1.0
10,Zeke Nnaji,14:17,3.0,4.0,0.75,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,9.0,7.0
11,Collin Gillespie,2:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
12,Hunter Tyson,2:50,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
13,DeAndre Jordan,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Braxton Key,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Peyton Watson,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
