Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Shaedon Sharpe,40:32,8.0,17.0,0.471,4.0,9.0,0.444,7.0,9.0,0.778,1.0,2.0,3.0,6.0,1.0,0.0,2.0,2.0,27.0,-15.0
1,Anfernee Simons,37:50,10.0,23.0,0.435,5.0,11.0,0.455,13.0,13.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,3.0,1.0,38.0,-9.0
2,Toumani Camara,37:27,3.0,6.0,0.5,1.0,3.0,0.333,0.0,2.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,7.0,-5.0
3,Matisse Thybulle,30:35,4.0,6.0,0.667,3.0,5.0,0.6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,11.0,-9.0
4,Duop Reath,26:23,4.0,11.0,0.364,2.0,6.0,0.333,0.0,0.0,0.0,2.0,1.0,3.0,4.0,1.0,0.0,1.0,3.0,10.0,0.0
6,Scoot Henderson,29:39,8.0,16.0,0.5,3.0,4.0,0.75,0.0,0.0,0.0,1.0,3.0,4.0,6.0,0.0,2.0,3.0,5.0,19.0,11.0
7,Jabari Walker,21:46,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,3.0,5.0,8.0,1.0,1.0,0.0,1.0,1.0,9.0,1.0
8,Moses Brown,15:47,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,12.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0
9,Malcolm Brogdon,Did Not Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Skylar Mays,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Kris Murray,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Rayan Rupert,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
