Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Harrison Barnes,39:50,14.0,24.0,0.583,7.0,12.0,0.583,4.0,4.0,1.0,1.0,3.0,4.0,0.0,2.0,1.0,1.0,0.0,39.0,2.0
1,Keegan Murray,37:59,5.0,12.0,0.417,2.0,7.0,0.286,2.0,2.0,1.0,1.0,5.0,6.0,1.0,1.0,2.0,0.0,2.0,14.0,11.0
2,De'Aaron Fox,35:34,9.0,16.0,0.563,3.0,7.0,0.429,8.0,8.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,29.0,-12.0
3,Domantas Sabonis,35:09,8.0,11.0,0.727,2.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,8.0,13.0,0.0,1.0,3.0,5.0,18.0,8.0
4,Kevin Huerter,33:05,4.0,10.0,0.4,3.0,8.0,0.375,1.0,3.0,0.333,3.0,7.0,10.0,4.0,3.0,0.0,2.0,4.0,12.0,8.0
6,Malik Monk,19:14,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,4.0,-11.0
7,Davion Mitchell,15:19,3.0,5.0,0.6,3.0,5.0,0.6,1.0,2.0,0.5,1.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,10.0,13.0
8,Trey Lyles,15:01,3.0,7.0,0.429,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,8.0,-9.0
9,Kessler Edwards,6:07,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
10,Chris Duarte,2:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
11,Keon Ellis,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Colby Jones,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Alex Len,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,JaVale McGee,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Jalen Slawson,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
