Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Fred VanVleet,42:36,9.0,16.0,0.563,8.0,12.0,0.667,7.0,8.0,0.875,0.0,3.0,3.0,10.0,1.0,1.0,5.0,3.0,33.0,-3.0
1,Jalen Green,36:27,12.0,19.0,0.632,5.0,9.0,0.556,2.0,4.0,0.5,0.0,6.0,6.0,4.0,0.0,0.0,1.0,0.0,31.0,-7.0
2,Jae'Sean Tate,35:18,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,4.0,4.0
3,Alperen Şengün,34:20,12.0,16.0,0.75,1.0,2.0,0.5,3.0,4.0,0.75,3.0,4.0,7.0,8.0,1.0,1.0,5.0,6.0,28.0,12.0
4,Jeff Green,32:52,5.0,11.0,0.455,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,2.0,10.0,-7.0
6,Tari Eason,27:18,5.0,13.0,0.385,0.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,11.0,2.0,3.0,2.0,2.0,3.0,10.0,-8.0
7,Aaron Holiday,14:53,2.0,6.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,3.0,2.0,4.0,-5.0
8,Amen Thompson,8:40,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
9,Jock Landale,7:36,2.0,5.0,0.4,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,-6.0
10,Reggie Bullock,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Boban Marjanović,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Cam Whitmore,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
