Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Santi Aldama,35:45,9.0,20.0,0.45,3.0,10.0,0.3,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,21.0,-18.0
1,Desmond Bane,34:00,3.0,12.0,0.25,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,1.0,0.0,3.0,3.0,6.0,-10.0
2,Bismack Biyombo,29:18,3.0,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,3.0,6.0,-9.0
3,Jaren Jackson Jr.,28:50,5.0,13.0,0.385,1.0,4.0,0.25,2.0,4.0,0.5,4.0,3.0,7.0,2.0,1.0,0.0,3.0,5.0,13.0,-12.0
4,Jacob Gilyard,23:33,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,6.0,-2.0
6,David Roddy,27:22,5.0,9.0,0.556,2.0,4.0,0.5,2.0,3.0,0.667,0.0,4.0,4.0,0.0,2.0,1.0,2.0,0.0,14.0,-15.0
7,Derrick Rose,21:34,8.0,9.0,0.889,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,17.0,-10.0
8,John Konchar,17:44,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.0
9,Vince Williams Jr.,13:43,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,4.0,3.0,-6.0
10,Kenneth Lofton Jr.,1:38,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-4.0
11,Shaquille Harrison,1:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
12,GG Jackson II,1:38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.0
13,Jaylen Nowell,1:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
14,Ziaire Williams,1:38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-4.0
