Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Tyrese Maxey,42:04,9.0,24.0,0.375,1.0,8.0,0.125,6.0,6.0,1.0,1.0,0.0,1.0,9.0,3.0,1.0,3.0,0.0,25.0,-14.0
1,Kelly Oubre Jr.,37:28,8.0,18.0,0.444,1.0,6.0,0.167,7.0,8.0,0.875,1.0,3.0,4.0,4.0,1.0,0.0,0.0,5.0,24.0,1.0
2,Marcus Morris,28:08,5.0,12.0,0.417,3.0,7.0,0.429,2.0,2.0,1.0,2.0,4.0,6.0,1.0,2.0,2.0,0.0,2.0,15.0,-2.0
3,Nicolas Batum,26:04,1.0,6.0,0.167,0.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,-13.0
4,Paul Reed,24:47,7.0,12.0,0.583,0.0,0.0,0.0,2.0,4.0,0.5,3.0,3.0,6.0,1.0,0.0,0.0,1.0,1.0,16.0,-7.0
6,Patrick Beverley,34:01,5.0,13.0,0.385,2.0,6.0,0.333,0.0,0.0,0.0,2.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,12.0,-2.0
7,KJ Martin,17:11,4.0,7.0,0.571,0.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,9.0,-1.0
8,Mo Bamba,16:57,3.0,9.0,0.333,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,5.0,1.0,1.0,1.0,0.0,4.0,6.0,-2.0
9,Jaden Springer,13:20,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,-15.0
10,Ricky Council IV,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Robert Covington,Did Not Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Joel Embiid,Did Not Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Danuel House Jr.,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Terquavion Smith,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
