Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameDetails
2,Joel Embiid,36:33,10.0,19.0,0.526,1.0,3.0,0.333,11.0,11.0,1.0,2.0,5.0,7.0,8.0,2.0,0.0,4.0,3.0,32.0,16.0,Philadelphia76ersatAtlantaHawksBoxScore November17
2,Joel Embiid,31:14,11.0,24.0,0.458,1.0,2.0,0.5,9.0,10.0,0.9,2.0,10.0,12.0,9.0,0.0,1.0,1.0,3.0,32.0,25.0,Philadelphia76ersatBrooklynNetsBoxScore November19
1,Joel Embiid,29:53,18.0,23.0,0.783,0.0,1.0,0.0,6.0,6.0,1.0,0.0,15.0,15.0,3.0,1.0,2.0,4.0,2.0,42.0,36.0,Philadelphia76ersatCharlotteHornetsBoxScore December16
1,Joel Embiid,36:46,11.0,23.0,0.478,0.0,1.0,0.0,11.0,12.0,0.917,1.0,9.0,10.0,5.0,0.0,3.0,3.0,2.0,33.0,-2.0,Philadelphia76ersatCharlotteHornetsBoxScore January20
11,Joel Embiid,Did Not Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Philadelphia76ersatDenverNuggetsBoxScore January27
1,Joel Embiid,31:21,14.0,24.0,0.583,1.0,3.0,0.333,12.0,12.0,1.0,4.0,7.0,11.0,5.0,2.0,0.0,2.0,1.0,41.0,27.0,Philadelphia76ersatDetroitPistonsBoxScore December13
2,Joel Embiid,35:48,8.0,21.0,0.381,1.0,4.0,0.25,16.0,19.0,0.842,7.0,9.0,16.0,3.0,0.0,2.0,5.0,3.0,33.0,1.0,Philadelphia76ersatDetroitPistonsBoxScore November10
2,Joel Embiid,29:48,5.0,18.0,0.278,2.0,6.0,0.333,2.0,2.0,1.0,1.0,6.0,7.0,2.0,2.0,0.0,8.0,5.0,14.0,-21.0,Philadelphia76ersatGoldenStateWarriorsBoxScore January30
0,Joel Embiid,31:17,11.0,20.0,0.55,2.0,4.0,0.5,7.0,10.0,0.7,1.0,6.0,7.0,3.0,0.0,0.0,2.0,1.0,31.0,-20.0,Philadelphia76ersatIndianaPacersBoxScore January25
2,Joel Embiid,36:26,9.0,21.0,0.429,3.0,7.0,0.429,3.0,8.0,0.375,0.0,7.0,7.0,6.0,0.0,1.0,7.0,5.0,24.0,-1.0,Philadelphia76ersatMilwaukeeBucksBoxScore October26
12,Joel Embiid,Not With Team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Philadelphia76ersatNewOrleansPelicansBoxScore November29
1,Joel Embiid,37:22,8.0,18.0,0.444,0.0,4.0,0.0,19.0,21.0,0.905,4.0,7.0,11.0,9.0,1.0,4.0,4.0,5.0,35.0,7.0,Philadelphia76ersatOklahomaCityThunderBoxScore November25
3,Joel Embiid,30:50,12.0,22.0,0.545,1.0,2.0,0.5,11.0,11.0,1.0,1.0,6.0,7.0,2.0,4.0,0.0,1.0,1.0,36.0,12.0,Philadelphia76ersatOrlandoMagicBoxScore January19
2,Joel Embiid,35:21,14.0,21.0,0.667,1.0,3.0,0.333,5.0,6.0,0.833,0.0,9.0,9.0,8.0,1.0,2.0,1.0,0.0,34.0,-2.0,Philadelphia76ersatTorontoRaptorsBoxScore October28
1,Joel Embiid,38:02,19.0,29.0,0.655,1.0,2.0,0.5,11.0,13.0,0.846,6.0,7.0,13.0,7.0,1.0,1.0,6.0,2.0,50.0,8.0,Philadelphia76ersatWashingtonWizardsBoxScore December6
1,Joel Embiid,35:53,12.0,24.0,0.5,1.0,3.0,0.333,13.0,15.0,0.867,4.0,10.0,14.0,3.0,1.0,4.0,2.0,1.0,38.0,16.0,AtlantaHawksatPhiladelphia76ersBoxScore December8
4,Joel Embiid,33:55,8.0,16.0,0.5,0.0,2.0,0.0,4.0,4.0,1.0,3.0,6.0,9.0,7.0,1.0,0.0,2.0,3.0,20.0,-25.0,BostonCelticsatPhiladelphia76ersBoxScore November15
