Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameDetails,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
3,Khris Middleton,28:35,4.0,14.0,0.286,2.0,5.0,0.4,2.0,2.0,1.0,2.0,3.0,5.0,7.0,1.0,0.0,0.0,4.0,12.0,-6.0,MilwaukeeBucksatBostonCelticsBoxScore November22,,,,,,,,,,,,,,,
0,Khris Middleton,31:41,11.0,18.0,0.611,3.0,7.0,0.429,2.0,2.0,1.0,1.0,2.0,3.0,10.0,0.0,2.0,3.0,2.0,27.0,5.0,MilwaukeeBucksatBrooklynNetsBoxScore December27,,,,,,,,,,,,,,,
3,Khris Middleton,21:11,6.0,10.0,0.6,1.0,4.0,0.25,2.0,2.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,15.0,9.0,MilwaukeeBucksatBrooklynNetsBoxScore November6,,,,,,,,,,,,,,,
4,Khris Middleton,21:51,4.0,11.0,0.364,2.0,7.0,0.286,2.0,2.0,1.0,1.0,5.0,6.0,1.0,1.0,0.0,1.0,3.0,12.0,16.0,MilwaukeeBucksatCharlotteHornetsBoxScore November17,,,,,,,,,,,,,,,
4,Khris Middleton,26:40,3.0,10.0,0.3,1.0,4.0,0.25,2.0,5.0,0.4,0.0,3.0,3.0,3.0,2.0,0.0,3.0,3.0,9.0,-8.0,MilwaukeeBucksatChicagoBullsBoxScore November30,,,,,,,,,,,,,,,
4,Khris Middleton,33:16,4.0,10.0,0.4,1.0,3.0,0.333,4.0,4.0,1.0,0.0,3.0,3.0,11.0,3.0,0.0,4.0,1.0,13.0,7.0,MilwaukeeBucksatClevelandCavaliersBoxScore December29,,,,,,,,,,,,,,,
4,Khris Middleton,19:52,1.0,10.0,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0,2.0,-40.0,MilwaukeeBucksatClevelandCavaliersBoxScore January17,,,,,,,,,,,,,,,
1,Khris Middleton,38:29,5.0,15.0,0.333,1.0,4.0,0.25,2.0,2.0,1.0,1.0,2.0,3.0,8.0,1.0,0.0,2.0,5.0,13.0,24.0,MilwaukeeBucksatDallasMavericksBoxScore February3,,,,,,,,,,,,,,,
4,Khris Middleton,29:55,6.0,10.0,0.6,2.0,6.0,0.333,0.0,0.0,0.0,0.0,8.0,8.0,3.0,0.0,1.0,4.0,5.0,14.0,2.0,MilwaukeeBucksatDenverNuggetsBoxScore January29,,,,,,,,,,,,,,,
4,Khris Middleton,33:14,5.0,12.0,0.417,3.0,7.0,0.429,4.0,6.0,0.667,0.0,5.0,5.0,4.0,1.0,2.0,1.0,4.0,17.0,7.0,MilwaukeeBucksatDetroitPistonsBoxScore January20,,,,,,,,,,,,,,,
4,Khris Middleton,31:26,9.0,14.0,0.643,2.0,5.0,0.4,6.0,6.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,26.0,9.0,MilwaukeeBucksatDetroitPistonsBoxScore January22,,,,,,,,,,,,,,,
2,Khris Middleton,32:55,3.0,9.0,0.333,0.0,5.0,0.0,4.0,6.0,0.667,0.0,3.0,3.0,5.0,1.0,0.0,3.0,5.0,10.0,7.0,MilwaukeeBucksatHoustonRocketsBoxScore January6,,,,,,,,,,,,,,,
2,Khris Middleton,32:06,7.0,13.0,0.538,4.0,7.0,0.571,1.0,1.0,1.0,1.0,5.0,6.0,7.0,0.0,2.0,4.0,2.0,19.0,-15.0,MilwaukeeBucksatIndianaPacersBoxScore January3,,,,,,,,,,,,,,,
