Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameDetails
13,Moritz Wagner,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OrlandoMagicatAtlantaHawksBoxScore January17
9,Moritz Wagner,13:24,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,2.0,-9.0,OrlandoMagicatBostonCelticsBoxScore December15
10,Moritz Wagner,12:28,1.0,3.0,0.333,1.0,2.0,0.5,3.0,4.0,0.75,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,-15.0,OrlandoMagicatBostonCelticsBoxScore December17
7,Moritz Wagner,21:34,6.0,9.0,0.667,2.0,2.0,1.0,4.0,5.0,0.8,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,18.0,-12.0,OrlandoMagicatBrooklynNetsBoxScore December2
7,Moritz Wagner,21:19,3.0,4.0,0.75,0.0,0.0,0.0,5.0,6.0,0.833,1.0,5.0,6.0,4.0,0.0,0.0,1.0,3.0,11.0,-7.0,OrlandoMagicatBrooklynNetsBoxScore November14
8,Moritz Wagner,20:23,2.0,6.0,0.333,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,1.0,3.0,5.0,2.0,OrlandoMagicatChicagoBullsBoxScore November15
8,Moritz Wagner,23:28,4.0,5.0,0.8,0.0,1.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,3.0,0.0,1.0,0.0,3.0,10.0,0.0,OrlandoMagicatChicagoBullsBoxScore November17
8,Moritz Wagner,21:07,5.0,7.0,0.714,0.0,1.0,0.0,1.0,4.0,0.25,1.0,3.0,4.0,0.0,2.0,0.0,3.0,2.0,11.0,-11.0,OrlandoMagicatClevelandCavaliersBoxScore December6
8,Moritz Wagner,24:33,7.0,12.0,0.583,2.0,4.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,4.0,16.0,-3.0,OrlandoMagicatDallasMavericksBoxScore January29
1,Moritz Wagner,37:49,8.0,14.0,0.571,2.0,4.0,0.5,1.0,2.0,0.5,3.0,8.0,11.0,3.0,2.0,0.0,0.0,4.0,19.0,1.0,OrlandoMagicatDenverNuggetsBoxScore January5
8,Moritz Wagner,20:26,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,0.0,0.0,1.0,1.0,10.0,3.0,OrlandoMagicatDetroitPistonsBoxScore February4
9,Moritz Wagner,15:32,5.0,8.0,0.625,1.0,2.0,0.5,1.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,0.0,1.0,2.0,12.0,7.0,OrlandoMagicatGoldenStateWarriorsBoxScore January2
8,Moritz Wagner,20:02,3.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,9.0,12.0,OrlandoMagicatIndianaPacersBoxScore December23
8,Moritz Wagner,20:32,6.0,10.0,0.6,1.0,1.0,1.0,3.0,4.0,0.75,3.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,16.0,3.0,OrlandoMagicatIndianaPacersBoxScore November19
8,Moritz Wagner,14:22,4.0,7.0,0.571,0.0,2.0,0.0,5.0,6.0,0.833,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,13.0,1.0,OrlandoMagicatLosAngelesClippersBoxScore October31
9,Moritz Wagner,11:29,2.0,5.0,0.4,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,-10.0,OrlandoMagicatLosAngelesLakersBoxScore October30
10,Moritz Wagner,12:36,4.0,6.0,0.667,1.0,1.0,1.0,3.0,4.0,0.75,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,12.0,4.0,OrlandoMagicatMemphisGrizzliesBoxScore January26
7,Moritz Wagner,16:19,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,3.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,3.0,-4.0,OrlandoMagicatMiamiHeatBoxScore February6
6,Moritz Wagner,28:36,7.0,9.0,0.778,0.0,1.0,0.0,5.0,5.0,1.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0,5.0,19.0,7.0,OrlandoMagicatMiamiHeatBoxScore January12
7,Moritz Wagner,26:35,10.0,15.0,0.667,1.0,4.0,0.25,0.0,0.0,0.0,3.0,5.0,8.0,2.0,1.0,1.0,1.0,1.0,21.0,23.0,OrlandoMagicatMilwaukeeBucksBoxScore December21
10,Moritz Wagner,11:02,2.0,3.0,0.667,0.0,0.0,0.0,4.0,4.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,8.0,4.0,OrlandoMagicatMinnesotaTimberwolvesBoxScore February2
13,Moritz Wagner,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OrlandoMagicatNewYorkKnicksBoxScore January15
8,Moritz Wagner,18:13,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,3.0,1.0,4.0,-9.0,OrlandoMagicatOklahomaCityThunderBoxScore January13
9,Moritz Wagner,9:30,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,5.0,-2.0,OrlandoMagicatPhoenixSunsBoxScore December31
7,Moritz Wagner,21:55,8.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,5.0,9.0,1.0,1.0,1.0,1.0,2.0,17.0,-1.0,OrlandoMagicatPortlandTrailBlazersBoxScore October27
11,Moritz Wagner,12:49,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,OrlandoMagicatSacramentoKingsBoxScore January3
9,Moritz Wagner,15:44,5.0,9.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,2.0,2.0,10.0,2.0,OrlandoMagicatSanAntonioSpursBoxScore January31
8,Moritz Wagner,18:56,4.0,6.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,10.0,0.0,OrlandoMagicatUtahJazzBoxScore November2
8,Moritz Wagner,15:10,5.0,9.0,0.556,0.0,0.0,0.0,1.0,2.0,0.5,0.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,11.0,-3.0,OrlandoMagicatWashingtonWizardsBoxScore December26
7,Moritz Wagner,20:02,5.0,9.0,0.556,2.0,4.0,0.5,1.0,1.0,1.0,1.0,6.0,7.0,0.0,0.0,0.0,2.0,2.0,13.0,-8.0,AtlantaHawksatOrlandoMagicBoxScore November9
7,Moritz Wagner,23:45,9.0,13.0,0.692,1.0,3.0,0.333,8.0,9.0,0.889,2.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,27.0,15.0,BostonCelticsatOrlandoMagicBoxScore November24
8,Moritz Wagner,17:50,4.0,7.0,0.571,1.0,2.0,0.5,2.0,2.0,1.0,2.0,5.0,7.0,2.0,0.0,0.0,2.0,3.0,11.0,7.0,CharlotteHornetsatOrlandoMagicBoxScore November26
9,Moritz Wagner,17:40,4.0,9.0,0.444,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,8.0,-2.0,ClevelandCavaliersatOrlandoMagicBoxScore December11
