Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameDetails
9,Obi Toppin,20:33,7.0,7.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,5.0,7.0,4.0,0.0,0.0,1.0,4.0,18.0,10.0,IndianaPacersatAtlantaHawksBoxScore January12
6,Obi Toppin,33:53,9.0,16.0,0.563,1.0,6.0,0.167,2.0,2.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,21.0,-3.0,IndianaPacersatAtlantaHawksBoxScore November21
7,Obi Toppin,21:43,5.0,11.0,0.455,1.0,4.0,0.25,0.0,0.0,0.0,3.0,5.0,8.0,2.0,0.0,0.0,2.0,1.0,11.0,-10.0,IndianaPacersatBostonCelticsBoxScore January30
0,Obi Toppin,24:55,5.0,6.0,0.833,0.0,1.0,0.0,1.0,2.0,0.5,2.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,11.0,-41.0,IndianaPacersatBostonCelticsBoxScore November1
10,Obi Toppin,11:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,-14.0,IndianaPacersatCharlotteHornetsBoxScore February4
8,Obi Toppin,24:43,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,1.0,11.0,12.0,0.0,0.0,1.0,1.0,0.0,3.0,-11.0,IndianaPacersatChicagoBullsBoxScore December28
3,Obi Toppin,18:00,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,-6.0,IndianaPacersatClevelandCavaliersBoxScore October28
6,Obi Toppin,25:28,4.0,5.0,0.8,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,11.0,8.0,IndianaPacersatDenverNuggetsBoxScore January14
4,Obi Toppin,12:09,3.0,5.0,0.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,IndianaPacersatDetroitPistonsBoxScore December11
9,Obi Toppin,14:31,2.0,3.0,0.667,1.0,2.0,0.5,2.0,3.0,0.667,1.0,1.0,2.0,3.0,1.0,0.0,3.0,2.0,7.0,-14.0,IndianaPacersatHoustonRocketsBoxScore December26
3,Obi Toppin,28:15,8.0,14.0,0.571,5.0,9.0,0.556,1.0,2.0,0.5,2.0,3.0,5.0,1.0,2.0,0.0,1.0,3.0,22.0,9.0,IndianaPacersatMemphisGrizzliesBoxScore December21
1,Obi Toppin,34:46,7.0,8.0,0.875,4.0,5.0,0.8,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,4.0,0.0,5.0,20.0,18.0,IndianaPacersatMiamiHeatBoxScore December2
1,Obi Toppin,33:15,10.0,15.0,0.667,3.0,7.0,0.429,2.0,5.0,0.4,1.0,1.0,2.0,3.0,0.0,1.0,2.0,5.0,25.0,6.0,IndianaPacersatMiamiHeatBoxScore November30
4,Obi Toppin,19:34,2.0,7.0,0.286,1.0,3.0,0.333,0.0,0.0,0.0,3.0,4.0,7.0,1.0,0.0,1.0,0.0,6.0,5.0,-6.0,IndianaPacersatMilwaukeeBucksBoxScore December13
4,Obi Toppin,21:16,6.0,8.0,0.75,1.0,3.0,0.333,1.0,2.0,0.5,3.0,3.0,6.0,2.0,0.0,0.0,0.0,3.0,14.0,-7.0,IndianaPacersatMilwaukeeBucksBoxScore December7
