Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameDetails
3,Terance Mann,21:16,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,9.0,8.0,LosAngelesClippersatAtlantaHawksBoxScore February5
2,Terance Mann,24:00,6.0,12.0,0.5,1.0,3.0,0.333,1.0,2.0,0.5,3.0,3.0,6.0,3.0,0.0,0.0,0.0,2.0,14.0,27.0,LosAngelesClippersatBostonCelticsBoxScore January27
8,Terance Mann,19:21,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,-2.0,LosAngelesClippersatBrooklynNetsBoxScore November8
4,Terance Mann,19:26,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,5.0,-11.0,LosAngelesClippersatClevelandCavaliersBoxScore January29
3,Terance Mann,29:28,3.0,8.0,0.375,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,3.0,7.0,1.0,LosAngelesClippersatDallasMavericksBoxScore December20
6,Terance Mann,29:04,5.0,8.0,0.625,1.0,3.0,0.333,0.0,0.0,0.0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,4.0,11.0,-10.0,LosAngelesClippersatDallasMavericksBoxScore November10
6,Terance Mann,28:13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,5.0,0.0,0.0,1.0,3.0,0.0,-3.0,LosAngelesClippersatDenverNuggetsBoxScore November14
4,Terance Mann,23:51,4.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,12.0,-20.0,LosAngelesClippersatDetroitPistonsBoxScore February2
3,Terance Mann,33:58,4.0,10.0,0.4,1.0,4.0,0.25,0.0,0.0,0.0,3.0,2.0,5.0,1.0,1.0,0.0,2.0,1.0,9.0,13.0,LosAngelesClippersatGoldenStateWarriorsBoxScore November30
2,Terance Mann,28:10,2.0,5.0,0.4,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,10.0,LosAngelesClippersatIndianaPacersBoxScore December18
4,Terance Mann,25:08,2.0,5.0,0.4,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,6.0,1.0,LosAngelesClippersatLosAngelesLakersBoxScore January7
3,Terance Mann,26:27,3.0,8.0,0.375,1.0,4.0,0.25,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,LosAngelesClippersatMemphisGrizzliesBoxScore January12
3,Terance Mann,19:38,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,7.0,-1.0,LosAngelesClippersatMiamiHeatBoxScore February4
4,Terance Mann,18:54,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,-6.0,LosAngelesClippersatMinnesotaTimberwolvesBoxScore January14
4,Terance Mann,16:33,2.0,3.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,8.0,11.0,LosAngelesClippersatNewOrleansPelicansBoxScore January5
3,Terance Mann,23:31,2.0,8.0,0.25,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,-31.0,LosAngelesClippersatOklahomaCityThunderBoxScore December21
4,Terance Mann,22:55,5.0,8.0,0.625,2.0,4.0,0.5,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,12.0,17.0,LosAngelesClippersatPhoenixSunsBoxScore January3
3,Terance Mann,31:19,8.0,12.0,0.667,1.0,3.0,0.333,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,18.0,12.0,LosAngelesClippersatSacramentoKingsBoxScore November29
3,Terance Mann,24:36,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,4.0,0.0,1.0,0.0,0.0,7.0,LosAngelesClippersatSanAntonioSpursBoxScore November20
4,Terance Mann,22:33,2.0,5.0,0.4,0.0,3.0,0.0,2.0,4.0,0.5,0.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,6.0,3.0,LosAngelesClippersatSanAntonioSpursBoxScore November22
2,Terance Mann,28:38,3.0,6.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,6.0,20.0,LosAngelesClippersatTorontoRaptorsBoxScore January26
4,Terance Mann,30:05,4.0,9.0,0.444,2.0,5.0,0.4,0.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,10.0,17.0,LosAngelesClippersatUtahJazzBoxScore December8
1,Terance Mann,30:37,2.0,6.0,0.333,0.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,6.0,7.0,LosAngelesClippersatWashingtonWizardsBoxScore January31
3,Terance Mann,24:18,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,-33.0,BostonCelticsatLosAngelesClippersBoxScore December23
3,Terance Mann,26:18,4.0,6.0,0.667,2.0,3.0,0.667,3.0,3.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,13.0,-4.0,BrooklynNetsatLosAngelesClippersBoxScore January21
4,Terance Mann,20:28,1.0,4.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,CharlotteHornetsatLosAngelesClippersBoxScore December26
