Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameDetails,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Tyrese Maxey,42:55,12.0,29.0,0.414,4.0,11.0,0.364,7.0,9.0,0.778,1.0,7.0,8.0,9.0,4.0,0.0,3.0,6.0,35.0,2.0,Philadelphia76ersatAtlantaHawksBoxScore January10,,,,,,,,,,,,,,,
0,Tyrese Maxey,40:18,5.0,13.0,0.385,3.0,6.0,0.5,6.0,6.0,1.0,0.0,4.0,4.0,8.0,2.0,0.0,2.0,1.0,19.0,1.0,Philadelphia76ersatAtlantaHawksBoxScore November17,,,,,,,,,,,,,,,
11,Tyrese Maxey,Did Not Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Philadelphia76ersatBostonCelticsBoxScore December1,,,,,,,,,,,,,,,
0,Tyrese Maxey,36:25,8.0,20.0,0.4,6.0,11.0,0.545,3.0,3.0,1.0,1.0,1.0,2.0,10.0,0.0,0.0,1.0,0.0,25.0,21.0,Philadelphia76ersatBrooklynNetsBoxScore November19,,,,,,,,,,,,,,,
0,Tyrese Maxey,32:43,8.0,13.0,0.615,5.0,8.0,0.625,0.0,0.0,0.0,0.0,2.0,2.0,7.0,2.0,1.0,0.0,1.0,21.0,43.0,Philadelphia76ersatCharlotteHornetsBoxScore December16,,,,,,,,,,,,,,,
0,Tyrese Maxey,42:15,7.0,22.0,0.318,1.0,9.0,0.111,1.0,2.0,0.5,0.0,3.0,3.0,8.0,2.0,0.0,0.0,2.0,16.0,18.0,Philadelphia76ersatCharlotteHornetsBoxScore January20,,,,,,,,,,,,,,,
0,Tyrese Maxey,35:22,8.0,22.0,0.364,2.0,8.0,0.25,2.0,5.0,0.4,0.0,0.0,0.0,7.0,1.0,0.0,2.0,4.0,20.0,-12.0,Philadelphia76ersatChicagoBullsBoxScore December30,,,,,,,,,,,,,,,
0,Tyrese Maxey,32:53,2.0,13.0,0.154,0.0,6.0,0.0,5.0,6.0,0.833,1.0,3.0,4.0,9.0,0.0,0.0,1.0,1.0,9.0,22.0,Philadelphia76ersatDetroitPistonsBoxScore December13,,,,,,,,,,,,,,,
0,Tyrese Maxey,39:21,9.0,19.0,0.474,2.0,7.0,0.286,9.0,9.0,1.0,0.0,6.0,6.0,11.0,3.0,1.0,0.0,3.0,29.0,17.0,Philadelphia76ersatDetroitPistonsBoxScore November10,,,,,,,,,,,,,,,
0,Tyrese Maxey,41:22,13.0,26.0,0.5,2.0,9.0,0.222,14.0,15.0,0.933,1.0,3.0,4.0,4.0,0.0,1.0,1.0,1.0,42.0,0.0,Philadelphia76ersatHoustonRocketsBoxScore December29,,,,,,,,,,,,,,,
1,Tyrese Maxey,28:30,7.0,17.0,0.412,1.0,8.0,0.125,7.0,7.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,22.0,-29.0,Philadelphia76ersatIndianaPacersBoxScore January25,,,,,,,,,,,,,,,
0,Tyrese Maxey,43:30,4.0,20.0,0.2,1.0,8.0,0.125,3.0,6.0,0.5,0.0,3.0,3.0,5.0,1.0,1.0,0.0,4.0,12.0,3.0,Philadelphia76ersatMiamiHeatBoxScore December25,,,,,,,,,,,,,,,
0,Tyrese Maxey,40:13,10.0,22.0,0.455,3.0,8.0,0.375,8.0,10.0,0.8,0.0,4.0,4.0,8.0,2.0,0.0,0.0,3.0,31.0,0.0,Philadelphia76ersatMilwaukeeBucksBoxScore October26,,,,,,,,,,,,,,,
0,Tyrese Maxey,33:40,7.0,19.0,0.368,0.0,5.0,0.0,2.0,4.0,0.5,2.0,3.0,5.0,8.0,0.0,1.0,3.0,0.0,16.0,-18.0,Philadelphia76ersatMinnesotaTimberwolvesBoxScore November22,,,,,,,,,,,,,,,
0,Tyrese Maxey,38:11,13.0,25.0,0.52,3.0,10.0,0.3,4.0,4.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,4.0,2.0,33.0,-11.0,Philadelphia76ersatNewOrleansPelicansBoxScore November29,,,,,,,,,,,,,,,
0,Tyrese Maxey,40:52,8.0,17.0,0.471,3.0,9.0,0.333,9.0,11.0,0.818,1.0,7.0,8.0,3.0,0.0,1.0,1.0,5.0,28.0,6.0,Philadelphia76ersatOklahomaCityThunderBoxScore November25,,,,,,,,,,,,,,,
1,Tyrese Maxey,34:23,9.0,18.0,0.5,3.0,6.0,0.5,2.0,3.0,0.667,1.0,5.0,6.0,2.0,0.0,1.0,1.0,2.0,23.0,17.0,Philadelphia76ersatOrlandoMagicBoxScore December27,,,,,,,,,,,,,,,
1,Tyrese Maxey,33:30,10.0,20.0,0.5,4.0,10.0,0.4,8.0,9.0,0.889,2.0,1.0,3.0,5.0,3.0,1.0,2.0,1.0,32.0,17.0,Philadelphia76ersatOrlandoMagicBoxScore January19,,,,,,,,,,,,,,,
0,Tyrese Maxey,40:34,12.0,20.0,0.6,7.0,9.0,0.778,3.0,3.0,1.0,1.0,5.0,6.0,7.0,0.0,1.0,1.0,1.0,34.0,10.0,Philadelphia76ersatTorontoRaptorsBoxScore October28,,,,,,,,,,,,,,,
0,Tyrese Maxey,41:06,17.0,27.0,0.63,7.0,9.0,0.778,10.0,11.0,0.909,0.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,51.0,-2.0,Philadelphia76ersatUtahJazzBoxScore February1,,,,,,,,,,,,,,,
0,Tyrese Maxey,38:10,10.0,20.0,0.5,2.0,6.0,0.333,4.0,4.0,1.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,2.0,26.0,12.0,Philadelphia76ersatWashingtonWizardsBoxScore December6,,,,,,,,,,,,,,,
0,Tyrese Maxey,38:53,8.0,18.0,0.444,4.0,8.0,0.5,10.0,12.0,0.833,0.0,2.0,2.0,7.0,1.0,1.0,0.0,3.0,30.0,-1.0,AtlantaHawksatPhiladelphia76ersBoxScore December8,,,,,,,,,,,,,,,
0,Tyrese Maxey,39:07,6.0,15.0,0.4,3.0,7.0,0.429,5.0,5.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,2.0,3.0,20.0,9.0,BostonCelticsatPhiladelphia76ersBoxScore November15,,,,,,,,,,,,,,,
0,Tyrese Maxey,39:05,11.0,27.0,0.407,3.0,11.0,0.273,0.0,1.0,0.0,1.0,8.0,9.0,5.0,1.0,2.0,1.0,4.0,25.0,-3.0,BostonCelticsatPhiladelphia76ersBoxScore November8,,,,,,,,,,,,,,,
0,Tyrese Maxey,30:38,8.0,23.0,0.348,3.0,8.0,0.375,4.0,6.0,0.667,1.0,2.0,3.0,5.0,3.0,0.0,1.0,2.0,23.0,-15.0,BrooklynNetsatPhiladelphia76ersBoxScore February3,,,,,,,,,,,,,,,
0,Tyrese Maxey,39:13,9.0,23.0,0.391,5.0,11.0,0.455,6.0,6.0,1.0,2.0,3.0,5.0,8.0,1.0,0.0,3.0,3.0,29.0,11.0,ChicagoBullsatPhiladelphia76ersBoxScore December18,,,,,,,,,,,,,,,
2,Tyrese Maxey,29:19,6.0,12.0,0.5,4.0,7.0,0.571,5.0,6.0,0.833,0.0,1.0,1.0,5.0,0.0,0.0,1.0,2.0,21.0,24.0,ChicagoBullsatPhiladelphia76ersBoxScore January2,,,,,,,,,,,,,,,
1,Tyrese Maxey,32:51,6.0,16.0,0.375,1.0,5.0,0.2,2.0,3.0,0.667,0.0,2.0,2.0,7.0,0.0,0.0,3.0,4.0,15.0,-23.0,DallasMavericksatPhiladelphia76ersBoxScore February5,,,,,,,,,,,,,,,
0,Tyrese Maxey,42:54,9.0,20.0,0.45,4.0,9.0,0.444,3.0,7.0,0.429,1.0,4.0,5.0,9.0,2.0,0.0,1.0,2.0,25.0,9.0,DenverNuggetsatPhiladelphia76ersBoxScore January16,,,,,,,,,,,,,,,
1,Tyrese Maxey,27:15,7.0,16.0,0.438,1.0,6.0,0.167,4.0,5.0,0.8,0.0,1.0,1.0,4.0,2.0,0.0,1.0,1.0,19.0,37.0,DetroitPistonsatPhiladelphia76ersBoxScore December15,,,,,,,,,,,,,,,
1,Tyrese Maxey,29:49,5.0,14.0,0.357,2.0,7.0,0.286,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,12.0,-27.0,GoldenStateWarriorsatPhiladelphia76ersBoxScore February7,,,,,,,,,,,,,,,
0,Tyrese Maxey,35:22,8.0,18.0,0.444,6.0,10.0,0.6,5.0,5.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,2.0,4.0,27.0,19.0,HoustonRocketsatPhiladelphia76ersBoxScore January15,,,,,,,,,,,,,,,
0,Tyrese Maxey,39:13,20.0,32.0,0.625,7.0,11.0,0.636,3.0,3.0,1.0,3.0,4.0,7.0,5.0,0.0,3.0,2.0,2.0,50.0,17.0,IndianaPacersatPhiladelphia76ersBoxScore November12,,,,,,,,,,,,,,,
0,Tyrese Maxey,38:09,9.0,23.0,0.391,2.0,5.0,0.4,7.0,7.0,1.0,0.0,4.0,4.0,5.0,0.0,1.0,4.0,2.0,27.0,-6.0,IndianaPacersatPhiladelphia76ersBoxScore November14,,,,,,,,,,,,,,,
0,Tyrese Maxey,36:19,9.0,20.0,0.45,5.0,12.0,0.417,8.0,9.0,0.889,0.0,3.0,3.0,8.0,1.0,0.0,0.0,2.0,31.0,25.0,LosAngelesLakersatPhiladelphia76ersBoxScore November27,,,,,,,,,,,,,,,
0,Tyrese Maxey,37:21,12.0,24.0,0.5,5.0,12.0,0.417,6.0,6.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,5.0,4.0,35.0,1.0,MinnesotaTimberwolvesatPhiladelphia76ersBoxScore December20,,,,,,,,,,,,,,,
0,Tyrese Maxey,36:27,9.0,20.0,0.45,1.0,7.0,0.143,8.0,10.0,0.8,1.0,3.0,4.0,9.0,2.0,1.0,1.0,1.0,27.0,-28.0,NewYorkKnicksatPhiladelphia76ersBoxScore January5,,,,,,,,,,,,,,,
0,Tyrese Maxey,42:55,,,,,,,,,,,,,,,,,,,,Philadelphia76ersatAtlantaHawksBoxScore January10,0.531,0.483,0.379,0.31,2.4,16.0,9.3,35.6,4.4,0.0,8.3,34.8,113.0,118.0,4.1
0,Tyrese Maxey,36:12,9.0,18.0,0.5,2.0,6.0,0.333,2.0,2.0,1.0,2.0,3.0,5.0,10.0,0.0,1.0,3.0,0.0,22.0,25.0,PhoenixSunsatPhiladelphia76ersBoxScore November4,,,,,,,,,,,,,,,
1,Tyrese Maxey,34:43,6.0,14.0,0.429,4.0,8.0,0.5,10.0,10.0,1.0,1.0,9.0,10.0,4.0,0.0,0.0,2.0,1.0,26.0,19.0,PortlandTrailBlazersatPhiladelphia76ersBoxScore October29,,,,,,,,,,,,,,,
0,Tyrese Maxey,40:22,6.0,17.0,0.353,3.0,6.0,0.5,6.0,6.0,1.0,0.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,21.0,17.0,SacramentoKingsatPhiladelphia76ersBoxScore January12,,,,,,,,,,,,,,,
0,Tyrese Maxey,41:35,7.0,15.0,0.467,2.0,5.0,0.4,2.0,2.0,1.0,1.0,3.0,4.0,8.0,0.0,0.0,2.0,1.0,18.0,12.0,SanAntonioSpursatPhiladelphia76ersBoxScore January22,,,,,,,,,,,,,,,
0,Tyrese Maxey,40:50,13.0,22.0,0.591,4.0,10.0,0.4,3.0,3.0,1.0,0.0,4.0,4.0,10.0,0.0,0.0,3.0,3.0,33.0,17.0,TorontoRaptorsatPhiladelphia76ersBoxScore December22,,,,,,,,,,,,,,,
1,Tyrese Maxey,40:01,7.0,16.0,0.438,0.0,3.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,1.0,18.0,6.0,TorontoRaptorsatPhiladelphia76ersBoxScore November2,,,,,,,,,,,,,,,
0,Tyrese Maxey,42:04,9.0,24.0,0.375,1.0,8.0,0.125,6.0,6.0,1.0,1.0,0.0,1.0,9.0,3.0,1.0,3.0,0.0,25.0,-14.0,UtahJazzatPhiladelphia76ersBoxScore January6,,,,,,,,,,,,,,,
3,Tyrese Maxey,24:46,8.0,13.0,0.615,5.0,9.0,0.556,3.0,3.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,1.0,24.0,26.0,WashingtonWizardsatPhiladelphia76ersBoxScore December11,,,,,,,,,,,,,,,
0,Tyrese Maxey,31:43,9.0,16.0,0.563,3.0,9.0,0.333,1.0,1.0,1.0,0.0,1.0,1.0,11.0,1.0,1.0,0.0,2.0,22.0,9.0,WashingtonWizardsatPhiladelphia76ersBoxScore November6,,,,,,,,,,,,,,,
