Unnamed: 0,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GameDetails
9,Zeke Nnaji,11:59,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,2.0,1.0,3.0,3.0,-1.0,DenverNuggetsatAtlantaHawksBoxScore December11
14,Zeke Nnaji,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DenverNuggetsatBostonCelticsBoxScore January19
10,Zeke Nnaji,6:58,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,-9.0,DenverNuggetsatBrooklynNetsBoxScore December22
10,Zeke Nnaji,11:41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,4.0,0.0,-7.0,DenverNuggetsatCharlotteHornetsBoxScore December23
11,Zeke Nnaji,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DenverNuggetsatChicagoBullsBoxScore December12
10,Zeke Nnaji,14:17,3.0,4.0,0.75,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,9.0,7.0,DenverNuggetsatClevelandCavaliersBoxScore November19
8,Zeke Nnaji,14:20,2.0,3.0,0.667,1.0,1.0,1.0,2.0,3.0,0.667,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,7.0,2.0,DenverNuggetsatDetroitPistonsBoxScore November20
10,Zeke Nnaji,6:10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,-3.0,DenverNuggetsatGoldenStateWarriorsBoxScore January4
8,Zeke Nnaji,11:19,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,-18.0,DenverNuggetsatHoustonRocketsBoxScore November12
10,Zeke Nnaji,3:49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DenverNuggetsatHoustonRocketsBoxScore November24
12,Zeke Nnaji,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DenverNuggetsatIndianaPacersBoxScore January23
14,Zeke Nnaji,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DenverNuggetsatLosAngelesClippersBoxScore December6
9,Zeke Nnaji,11:33,3.0,8.0,0.375,0.0,0.0,0.0,2.0,5.0,0.4,7.0,0.0,7.0,0.0,0.0,3.0,1.0,2.0,8.0,-13.0,DenverNuggetsatLosAngelesClippersBoxScore November27
12,Zeke Nnaji,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DenverNuggetsatLosAngelesLakersBoxScore February8
9,Zeke Nnaji,13:02,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,7.0,-2.0,DenverNuggetsatMemphisGrizzliesBoxScore October27
8,Zeke Nnaji,17:41,4.0,9.0,0.444,1.0,3.0,0.333,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,2.0,0.0,3.0,9.0,-6.0,DenverNuggetsatMinnesotaTimberwolvesBoxScore November1
10,Zeke Nnaji,4:18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-10.0,DenverNuggetsatNewOrleansPelicansBoxScore November17
14,Zeke Nnaji,5:21,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,DenverNuggetsatNewYorkKnicksBoxScore January25
9,Zeke Nnaji,8:46,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,-12.0,DenverNuggetsatOklahomaCityThunderBoxScore January31
9,Zeke Nnaji,14:49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,12.0,DenverNuggetsatOklahomaCityThunderBoxScore October29
8,Zeke Nnaji,11:40,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,-9.0,DenverNuggetsatOrlandoMagicBoxScore November22
14,Zeke Nnaji,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DenverNuggetsatPhiladelphia76ersBoxScore January16
12,Zeke Nnaji,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DenverNuggetsatPhoenixSunsBoxScore December1
13,Zeke Nnaji,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DenverNuggetsatSacramentoKingsBoxScore December2
10,Zeke Nnaji,9:54,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,-6.0,DenverNuggetsatTorontoRaptorsBoxScore December20
12,Zeke Nnaji,5:46,1.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,12.0,DenverNuggetsatUtahJazzBoxScore January10
10,Zeke Nnaji,5:05,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,-4.0,DenverNuggetsatWashingtonWizardsBoxScore January21
