,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Cade Cunningham,39:37,.566,.500,.211,.368,0.0,9.5,5.6,35.5,0.0,0.0,21.4,31.0,114,117,-5.2,Chicago Bulls,Detroit Pistons,2023-10-28
1,Isaiah Stewart,33:46,.457,.429,.214,.214,8.1,19.5,14.9,0.0,0.0,0.0,11.5,22.4,98,112,-13.0,Chicago Bulls,Detroit Pistons,2023-10-28
2,Jalen Duren,33:13,.871,.818,.000,.455,24.8,25.5,25.2,22.6,1.6,4.4,7.0,18.7,181,103,17.6,Chicago Bulls,Detroit Pistons,2023-10-28
3,Ausar Thompson,31:15,.514,.429,.286,.571,13.2,27.1,21.4,19.0,1.7,2.4,18.6,15.1,123,104,2.3,Chicago Bulls,Detroit Pistons,2023-10-28
4,Killian Hayes,22:40,.600,.600,.600,.000,6.1,0.0,2.5,20.8,2.3,0.0,16.7,11.6,139,115,1.1,Chicago Bulls,Detroit Pistons,2023-10-28
6,Alec Burks,25:33,.723,.750,.833,.083,0.0,7.4,4.4,0.0,0.0,2.9,0.0,21.3,155,115,7.7,Chicago Bulls,Detroit Pistons,2023-10-28
7,Jaden Ivey,21:58,.583,.583,.333,.000,0.0,0.0,0.0,17.1,2.4,0.0,25.0,15.9,107,115,-2.3,Chicago Bulls,Detroit Pistons,2023-10-28
8,Marvin Bagley III,14:47,.688,.688,.125,.000,18.6,25.5,22.7,0.0,0.0,0.0,0.0,23.7,153,110,3.2,Chicago Bulls,Detroit Pistons,2023-10-28
9,Joe Harris,10:31,.750,.750,1.000,.000,0.0,8.9,5.3,11.3,0.0,0.0,33.3,12.5,108,117,-1.6,Chicago Bulls,Detroit Pistons,2023-10-28
10,Marcus Sasser,5:58,.500,.500,.500,.000,23.0,31.5,28.1,21.8,0.0,0.0,0.0,14.7,150,108,3.0,Chicago Bulls,Detroit Pistons,2023-10-28
11,Stanley Umude,0:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,-8.1,Chicago Bulls,Detroit Pistons,2023-10-28
12,Malcolm Cazalon,0:0,Chicago Bulls,Detroit Pistons,2023-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Jared Rhoden,0:0,Chicago Bulls,Detroit Pistons,2023-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,James Wiseman,0:0,Chicago Bulls,Detroit Pistons,2023-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
