,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Kevin Durant,38:36,.605,.556,.222,.370,2.4,22.6,11.8,24.1,0.0,0.0,11.3,37.0,121,126,4.2,Los Angeles Lakers,Phoenix Suns,2023-11-10
1,Jusuf Nurkić,32:40,.632,.625,.375,.875,8.6,20.0,13.9,28.5,1.5,0.0,15.3,16.2,135,123,6.5,Los Angeles Lakers,Phoenix Suns,2023-11-10
2,Grayson Allen,31:40,.563,.563,.500,.000,5.9,24.1,14.4,16.9,1.5,0.0,20.0,12.8,115,122,-4.1,Los Angeles Lakers,Phoenix Suns,2023-11-10
3,Bradley Beal,31:30,.611,.588,.235,.353,6.0,6.9,6.4,10.8,3.1,0.0,9.2,27.7,123,122,2.1,Los Angeles Lakers,Phoenix Suns,2023-11-10
4,Keita Bates-Diop,29:47,.463,.409,.545,.182,6.3,11.0,8.5,0.0,3.2,0.0,0.0,16.1,114,121,-2.6,Los Angeles Lakers,Phoenix Suns,2023-11-10
6,Eric Gordon,27:48,.722,.722,.444,.000,3.4,3.9,3.6,10.3,5.2,0.0,10.0,14.5,141,118,7.9,Los Angeles Lakers,Phoenix Suns,2023-11-10
7,Yuta Watanabe,14:23,.375,.375,.750,.000,6.5,0.0,3.5,0.0,0.0,0.0,0.0,11.2,101,129,-13.9,Los Angeles Lakers,Phoenix Suns,2023-11-10
8,Drew Eubanks,14:08,.333,.333,.000,.000,13.3,23.2,17.9,8.8,0.0,6.0,40.0,14.3,71,121,-11.3,Los Angeles Lakers,Phoenix Suns,2023-11-10
9,Josh Okogie,12:39,.205,.000,1.000,.500,14.9,34.5,24.0,9.0,0.0,0.0,0.0,15.6,89,124,-9.0,Los Angeles Lakers,Phoenix Suns,2023-11-10
10,Jordan Goodwin,6:46,.500,.500,1.000,.000,13.9,16.1,14.9,0.0,0.0,0.0,0.0,17.9,126,127,-1.2,Los Angeles Lakers,Phoenix Suns,2023-11-10
11,Udoka Azubuike,0:0,Los Angeles Lakers,Phoenix Suns,2023-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Bol Bol,0:0,Los Angeles Lakers,Phoenix Suns,2023-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Saben Lee,0:0,Los Angeles Lakers,Phoenix Suns,2023-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Nassir Little,0:0,Los Angeles Lakers,Phoenix Suns,2023-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Chimezie Metu,0:0,Los Angeles Lakers,Phoenix Suns,2023-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
