,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Dennis Smith Jr.,30:02,.412,.412,.235,.000,3.2,25.2,12.7,37.8,1.6,0.0,10.5,24.7,99,142,-5.6
1,Day'Ron Sharpe,16:24,.872,.917,.167,.333,11.7,15.4,13.3,38.6,0.0,7.7,0.0,16.4,184,142,15.6
2,Mikal Bridges,12:00,.750,.750,.250,.000,0.0,31.6,13.6,12.1,4.0,0.0,20.0,16.3,115,136,0.3
3,Cam Thomas,11:55,.444,.444,.222,.000,0.0,0.0,0.0,0.0,4.0,0.0,0.0,29.5,95,140,-9.2
4,Royce O'Neale,10:00,.375,.375,.750,.000,0.0,12.6,5.5,23.9,0.0,0.0,0.0,15.6,108,148,-6.6
5,player,,,,,,,,,,,,,,,,
6,Jalen Wilson,29:51,.589,.385,.231,.846,22.5,12.7,18.3,8.7,0.0,0.0,5.3,24.7,141,147,-2.4
7,Armoni Brooks,28:53,.403,.393,.643,.143,6.6,8.7,7.6,8.7,1.7,0.0,11.8,22.9,89,144,-10.3
8,Trendon Watford,27:53,.730,.667,.111,.667,0.0,22.7,9.8,19.9,3.4,0.0,7.9,17.7,146,138,5.3
9,Noah Clowney,24:04,.709,.667,.111,.222,12.0,5.2,9.1,12.1,0.0,0.0,9.2,17.7,142,149,-2.6
10,Dariq Whitehead,21:24,.200,.200,.600,.000,0.0,23.6,10.2,15.7,0.0,0.0,0.0,9.1,78,146,-10.3
11,Keon Johnson,20:54,.615,.500,.500,.500,0.0,6.0,2.6,6.0,2.3,6.0,9.3,20.1,125,140,-0.7
12,Harry Giles,6:40,.129,.000,.000,.667,28.8,37.9,32.7,0.0,0.0,0.0,0.0,22.8,67,143,-28.2
