,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Brandin Podziemski,28:57,.506,.444,.556,.222,11.3,12.8,12.1,19.7,1.6,0.0,9.2,15.3,131,114,0.2
1,Jonathan Kuminga,27:11,.893,.864,.182,.273,8.0,6.8,7.4,17.0,1.7,0.0,7.5,20.0,171,115,10.2
2,Klay Thompson,27:07,.588,.588,.588,.000,0.0,10.2,5.5,10.8,0.0,0.0,10.5,28.6,108,118,-2.9
3,Stephen Curry,26:54,.743,.722,.722,.278,0.0,13.7,7.4,40.4,0.0,2.9,9.0,33.6,145,115,19.1
4,Kevon Looney,11:16,.727,.667,.000,.333,19.4,24.6,22.2,0.0,0.0,0.0,0.0,12.4,169,115,-3.1
5,player,,,,,,,,,,,,,,,,
6,Chris Paul,25:02,.269,.286,.429,.143,0.0,25.8,14.0,44.4,1.9,0.0,11.8,13.7,110,111,-4.7
7,Trayce Jackson-Davis,24:34,.714,.714,.000,.000,22.2,37.6,30.5,15.7,0.0,3.2,12.5,13.3,153,109,4.2
8,Dario Šarić,20:12,.547,.500,.364,.182,0.0,13.7,7.4,6.8,0.0,0.0,0.0,24.0,122,117,-4.4
9,Moses Moody,18:39,.434,.250,.750,1.000,5.8,9.9,8.0,0.0,2.5,0.0,25.8,17.0,78,113,-12.1
10,Cory Joseph,13:30,.000,.000,.333,.000,0.0,6.8,3.7,0.0,3.5,0.0,25.0,12.1,0,111,-20.6
11,Lester Quinones,6:05,.500,.500,.667,.000,0.0,45.5,24.7,20.2,0.0,0.0,25.0,26.8,88,110,-7.2
12,Gui Santos,6:05,.902,.833,.667,.667,17.9,15.2,16.4,0.0,0.0,0.0,0.0,26.0,189,117,14.0
13,Usman Garuba,2:14,.000,.000,.000,.000,0.0,0.0,0.0,45.7,0.0,0.0,0.0,18.2,69,121,-9.1
14,Jerome Robinson,2:14,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-7.4
