,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Sam Hauser,34:52,.833,.833,.667,.000,0.0,14.3,7.9,3.0,0.0,0.0,0.0,7.4,173,131,-4.2,Boston Celtics,Sacramento Kings,2023-12-20
1,Jrue Holiday,33:53,.733,.692,.462,.231,7.3,17.7,13.0,34.5,3.0,3.0,17.3,22.0,150,122,11.0,Boston Celtics,Sacramento Kings,2023-12-20
2,Derrick White,29:19,.978,1.000,.692,.231,4.2,3.4,3.8,33.1,1.7,10.5,6.5,22.5,188,125,25.0,Boston Celtics,Sacramento Kings,2023-12-20
3,Jaylen Brown,29:13,.581,.524,.143,.333,4.2,13.7,9.4,29.9,0.0,0.0,0.0,35.5,144,132,-3.0,Boston Celtics,Sacramento Kings,2023-12-20
4,Kristaps Porziņģis,29:13,.826,.773,.364,.727,8.4,24.0,17.0,8.3,0.0,21.0,17.1,25.8,145,115,9.4,Boston Celtics,Sacramento Kings,2023-12-20
6,Payton Pritchard,29:29,.751,.750,.917,.250,0.0,13.6,7.5,15.8,1.7,0.0,7.0,20.9,152,128,5.2,Boston Celtics,Sacramento Kings,2023-12-20
7,Neemias Queta,18:47,.375,.375,.000,.000,26.2,21.3,23.5,0.0,2.7,0.0,11.1,20.6,104,120,-19.4,Boston Celtics,Sacramento Kings,2023-12-20
8,Oshae Brissett,16:41,1.500,1.500,1.000,.000,14.8,18.0,16.5,12.0,0.0,0.0,0.0,2.6,256,132,5.5,Boston Celtics,Sacramento Kings,2023-12-20
9,Svi Mykhailiuk,16:13,.167,.167,.667,.000,15.2,12.3,13.6,18.5,3.1,0.0,0.0,15.9,104,125,-10.6,Boston Celtics,Sacramento Kings,2023-12-20
10,Lamar Stevens,2:20,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,200,137,4.9,Boston Celtics,Sacramento Kings,2023-12-20
11,Dalano Banton,0:0,Boston Celtics,Sacramento Kings,2023-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
