,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Max Strus,37:42,.688,.688,.625,.000,0.0,14.1,6.9,19.6,1.3,0.0,5.9,20.1,132,105,5.8,Cleveland Cavaliers,Detroit Pistons,2023-12-02
1,Evan Mobley,36:09,.475,.400,.000,.600,2.8,29.5,15.9,3.2,0.0,0.0,24.0,10.2,84,104,-8.7,Cleveland Cavaliers,Detroit Pistons,2023-12-02
2,Darius Garland,34:15,.452,.435,.304,.130,0.0,6.2,3.0,22.3,4.3,2.6,7.6,34.2,92,99,0.7,Cleveland Cavaliers,Detroit Pistons,2023-12-02
3,Jarrett Allen,34:14,.848,.889,.000,.556,14.9,18.7,16.8,12.8,1.4,0.0,15.2,17.1,153,104,6.6,Cleveland Cavaliers,Detroit Pistons,2023-12-02
4,Donovan Mitchell,32:54,.472,.421,.263,.263,3.1,6.5,4.8,17.3,3.0,0.0,15.9,34.1,88,104,-4.5,Cleveland Cavaliers,Detroit Pistons,2023-12-02
6,Isaac Okoro,33:01,.643,.643,.429,.000,0.0,19.4,9.5,15.2,5.9,0.0,0.0,9.4,141,94,7.1,Cleveland Cavaliers,Detroit Pistons,2023-12-02
7,Georges Niang,22:28,.676,.688,.500,.250,0.0,14.2,7.0,12.8,0.0,0.0,0.0,17.6,138,108,3.6,Cleveland Cavaliers,Detroit Pistons,2023-12-02
8,Craig Porter Jr.,4:13,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,110,-14.1,Cleveland Cavaliers,Detroit Pistons,2023-12-02
9,Sam Merrill,2:31,.000,.000,1.000,.000,0.0,0.0,0.0,43.3,0.0,0.0,0.0,17.7,54,109,-17.6,Cleveland Cavaliers,Detroit Pistons,2023-12-02
10,Tristan Thompson,2:31,.000,.000,.000,.000,40.6,42.4,41.5,0.0,0.0,0.0,0.0,17.7,69,102,-16.1,Cleveland Cavaliers,Detroit Pistons,2023-12-02
11,Damian Jones,0:0,Cleveland Cavaliers,Detroit Pistons,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Caris LeVert,0:0,Cleveland Cavaliers,Detroit Pistons,2023-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
