,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Jaden Ivey,5:00,0,2,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,+6,Detroit Pistons,Portland Trail Blazers,2024-02-08
1,Cade Cunningham,5:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,+6,Detroit Pistons,Portland Trail Blazers,2024-02-08
2,Jalen Duren,5:00,1,2,.500,0,1,.000,1,2,.500,3,2,5,0,0,2,0,1,3,+6,Detroit Pistons,Portland Trail Blazers,2024-02-08
3,Ausar Thompson,5:00,1,4,.250,0,0,,0,0,,1,1,2,0,0,0,0,0,2,+6,Detroit Pistons,Portland Trail Blazers,2024-02-08
4,Mike Muscala, ,Detroit Pistons,Portland Trail Blazers,2024-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Marcus Sasser,5:00,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,3,+6,Detroit Pistons,Portland Trail Blazers,2024-02-08
7,Stanley Umude, ,Detroit Pistons,Portland Trail Blazers,2024-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,James Wiseman, ,Detroit Pistons,Portland Trail Blazers,2024-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Jared Rhoden, ,Detroit Pistons,Portland Trail Blazers,2024-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Malcolm Cazalon,0:0,Detroit Pistons,Portland Trail Blazers,2024-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Isaiah Stewart,0:0,Detroit Pistons,Portland Trail Blazers,2024-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
