,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,CJ McCollum,36:29,.735,.735,.647,.000,0.0,24.2,12.3,15.6,1.4,0.0,15.0,24.6,122,112,4.2,New Orleans Pelicans,Los Angeles Clippers,2024-02-07
1,Brandon Ingram,35:31,.504,.500,.286,.143,3.7,24.9,14.4,21.6,1.4,2.9,11.8,21.3,107,110,-0.5,New Orleans Pelicans,Los Angeles Clippers,2024-02-07
2,Zion Williamson,35:02,.515,.438,.000,.625,3.7,7.2,5.5,36.6,1.4,6.0,8.9,28.7,119,111,4.3,New Orleans Pelicans,Los Angeles Clippers,2024-02-07
3,Herbert Jones,30:22,.547,.545,.273,.182,8.5,20.8,14.8,8.1,0.0,0.0,7.8,19.0,114,115,-3.7,New Orleans Pelicans,Los Angeles Clippers,2024-02-07
4,Jonas Valančiūnas,10:33,1.031,1.000,.000,.667,0.0,23.9,12.1,13.6,4.7,0.0,20.5,20.7,159,104,12.5,New Orleans Pelicans,Los Angeles Clippers,2024-02-07
6,Larry Nance Jr.,27:23,1.000,1.000,.000,.000,4.7,9.2,7.0,11.6,7.2,0.0,0.0,1.6,216,101,5.7,New Orleans Pelicans,Los Angeles Clippers,2024-02-07
7,Trey Murphy III,22:37,.591,.591,.727,.000,0.0,5.6,2.8,11.7,0.0,0.0,8.3,23.8,111,119,-2.5,New Orleans Pelicans,Los Angeles Clippers,2024-02-07
8,Dyson Daniels,21:49,.714,.714,.286,.000,5.9,17.4,11.7,6.1,9.0,9.6,12.5,16.4,126,89,13.3,New Orleans Pelicans,Los Angeles Clippers,2024-02-07
9,Jose Alvarado,13:23,.875,.875,.500,.000,9.7,0.0,4.8,0.0,0.0,0.0,0.0,13.4,172,120,3.9,New Orleans Pelicans,Los Angeles Clippers,2024-02-07
10,Jordan Hawkins,2:17,.500,.500,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.9,95,120,-2.9,New Orleans Pelicans,Los Angeles Clippers,2024-02-07
11,Jeremiah Robinson-Earl,2:17,.000,.000,1.000,.000,56.8,0.0,28.0,44.7,0.0,0.0,0.0,19.6,104,119,-9.1,New Orleans Pelicans,Los Angeles Clippers,2024-02-07
12,Cody Zeller,2:17,,,,,0.0,55.3,28.0,0.0,21.6,0.0,100.0,19.6,0,59,-1.5,New Orleans Pelicans,Los Angeles Clippers,2024-02-07
