,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Shaedon Sharpe,42:11,.598,.567,.400,.133,0.0,8.5,4.3,12.3,0.0,0.0,30.6,23.9,84,120,-9.6
1,Jerami Grant,40:47,.599,.559,.353,.294,0.0,14.7,7.4,3.3,0.0,1.8,9.4,22.9,105,117,-4.1
2,Deandre Ayton,33:56,.600,.600,.000,.000,0.0,24.8,12.5,0.0,0.0,4.4,16.7,15.6,90,113,-6.1
3,Skylar Mays,32:41,.540,.538,.308,.154,0.0,14.7,7.4,50.8,0.0,0.0,6.7,20.1,128,119,0.5
4,Matisse Thybulle,19:55,.778,.778,.889,.000,0.0,12.1,6.1,21.9,2.4,7.4,0.0,19.9,151,107,17.8
5,player,,,,,,,,,,,,,,,,
6,Toumani Camara,23:30,.333,.333,.667,.000,20.9,10.2,15.5,9.5,0.0,3.1,40.0,9.4,97,116,-8.3
7,Jabari Walker,17:34,.571,.571,.286,.000,0.0,27.3,13.8,8.0,2.7,4.2,0.0,17.6,114,107,0.5
8,Duop Reath,14:04,.550,.550,.800,.000,0.0,25.6,13.0,32.7,0.0,5.2,0.0,31.3,116,112,9.3
9,Jamaree Bouyea,12:22,.500,.500,.167,.000,10.0,29.1,19.7,34.9,0.0,0.0,14.3,24.9,106,117,-0.9
10,Kris Murray,3:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,-13.5
11,Moses Brown,Did Not Play,,,,,,,,,,,,,,,
12,Justin Minaya,Did Not Play,,,,,,,,,,,,,,,
13,Rayan Rupert,Did Not Play,,,,,,,,,,,,,,,
14,Ish Wainright,Did Not Play,,,,,,,,,,,,,,,
