,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Away,Home,Date
0,Tyus Jones,26:11,.800,.800,.600,.000,0.0,5.1,2.2,38.2,3.8,0.0,9.1,18.9,146,119,12.4,Washington Wizards,Cleveland Cavaliers,2024-01-05
1,Deni Avdija,25:52,.666,.625,.125,.500,0.0,25.8,11.2,28.9,3.8,4.2,23.5,22.2,108,110,2.8,Washington Wizards,Cleveland Cavaliers,2024-01-05
2,Kyle Kuzma,25:28,.321,.321,.286,.000,4.0,5.2,4.5,13.7,1.9,0.0,33.3,37.1,48,122,-22.1,Washington Wizards,Cleveland Cavaliers,2024-01-05
3,Daniel Gafford,24:12,.694,.500,.000,1.000,0.0,22.0,9.6,6.0,0.0,4.5,0.0,5.4,153,120,-5.1,Washington Wizards,Cleveland Cavaliers,2024-01-05
4,Jordan Poole,23:20,.205,.000,.500,.500,0.0,0.0,0.0,5.9,0.0,4.7,0.0,9.4,56,126,-14.6,Washington Wizards,Cleveland Cavaliers,2024-01-05
6,Bilal Coulibaly,36:08,.524,.538,.308,.231,5.7,18.5,11.2,4.9,1.4,9.1,6.5,19.1,102,116,1.6,Washington Wizards,Cleveland Cavaliers,2024-01-05
7,Corey Kispert,20:08,.542,.542,.500,.000,0.0,6.6,2.9,11.5,0.0,5.4,14.3,31.3,88,124,-4.9,Washington Wizards,Cleveland Cavaliers,2024-01-05
8,Mike Muscala,18:24,.000,.000,.667,.000,5.6,36.2,18.9,0.0,0.0,0.0,25.0,9.8,17,119,-17.4,Washington Wizards,Cleveland Cavaliers,2024-01-05
9,Delon Wright,16:25,.583,.583,.500,.000,0.0,16.2,7.0,22.3,15.0,0.0,14.3,19.2,104,89,16.5,Washington Wizards,Cleveland Cavaliers,2024-01-05
10,Eugene Omoruyi,6:48,.680,.600,.200,.400,15.0,0.0,8.5,0.0,7.3,0.0,0.0,38.9,139,110,15.5,Washington Wizards,Cleveland Cavaliers,2024-01-05
11,Johnny Davis,6:16,.000,.000,.000,.000,16.3,0.0,9.2,0.0,0.0,0.0,0.0,14.4,33,129,-18.0,Washington Wizards,Cleveland Cavaliers,2024-01-05
12,Jared Butler,5:24,.500,.500,.000,.000,0.0,0.0,0.0,68.1,0.0,20.2,0.0,16.7,129,119,13.2,Washington Wizards,Cleveland Cavaliers,2024-01-05
13,Anthony Gill,5:24,.129,.000,.333,.667,18.9,0.0,10.7,0.0,0.0,0.0,0.0,32.4,45,128,-28.9,Washington Wizards,Cleveland Cavaliers,2024-01-05
14,Danilo Gallinari,0:0,Washington Wizards,Cleveland Cavaliers,2024-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
