,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Away,Home,Date
0,Derrick White,35:43,9,19,.474,3,8,.375,0,0,,2,9,11,3,0,2,3,2,21,+13,Boston Celtics,Houston Rockets,2024-01-21
1,Jayson Tatum,35:07,4,17,.235,1,6,.167,9,12,.750,1,6,7,3,1,0,2,0,18,-4,Boston Celtics,Houston Rockets,2024-01-21
2,Kristaps Porziņģis,32:49,11,21,.524,6,11,.545,4,4,1.000,4,2,6,1,1,5,3,5,32,+18,Boston Celtics,Houston Rockets,2024-01-21
3,Jaylen Brown,30:50,6,14,.429,1,3,.333,0,2,.000,0,11,11,10,3,0,3,0,13,+4,Boston Celtics,Houston Rockets,2024-01-21
4,Sam Hauser,30:37,3,12,.250,3,12,.250,0,0,,2,5,7,6,1,1,1,0,9,+8,Boston Celtics,Houston Rockets,2024-01-21
6,Payton Pritchard,30:20,3,6,.500,3,5,.600,0,0,,1,1,2,4,2,0,0,1,9,+5,Boston Celtics,Houston Rockets,2024-01-21
7,Luke Kornet,22:46,4,4,1.000,0,0,,0,0,,5,4,9,1,1,3,1,3,8,-2,Boston Celtics,Houston Rockets,2024-01-21
8,Oshae Brissett,18:25,3,5,.600,0,2,.000,0,0,,1,1,2,3,0,1,3,4,6,+4,Boston Celtics,Houston Rockets,2024-01-21
9,Neemias Queta,3:23,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,2,0,-1,Boston Celtics,Houston Rockets,2024-01-21
10,Dalano Banton,0:0,Boston Celtics,Houston Rockets,2024-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Svi Mykhailiuk,0:0,Boston Celtics,Houston Rockets,2024-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Lamar Stevens,0:0,Boston Celtics,Houston Rockets,2024-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Jordan Walsh,0:0,Boston Celtics,Houston Rockets,2024-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
