,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Aaron Gordon,39:09,7,14,.500,0,4,.000,0,3,.000,1,7,8,2,1,0,0,4,14,+1
1,Nikola Jokić,36:10,10,20,.500,1,8,.125,5,5,1.000,2,14,16,18,1,1,4,2,26,+5
2,Kentavious Caldwell-Pope,34:52,3,7,.429,2,4,.500,0,0,,0,1,1,8,1,2,0,0,8,+4
3,Reggie Jackson,33:19,6,12,.500,2,7,.286,0,0,,1,1,2,3,0,0,4,2,14,-4
4,Michael Porter Jr.,32:53,8,14,.571,2,6,.333,0,1,.000,3,8,11,0,0,0,0,3,18,-15
5,player,,,,,,,,,,,,,,,,,,,,
6,Christian Braun,29:42,11,19,.579,3,5,.600,0,1,.000,2,7,9,3,0,0,0,1,25,+3
7,Peyton Watson,11:25,1,3,.333,0,1,.000,1,2,.500,2,1,3,1,0,0,2,2,3,-2
8,Jalen Pickett,9:40,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,1,2,0,+9
9,Julian Strawther,8:30,1,4,.250,0,3,.000,0,0,,0,0,0,1,1,0,0,2,2,-16
10,Zeke Nnaji,4:18,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,2,2,0,-10
11,Collin Gillespie,Did Not Play,,,,,,,,,,,,,,,,,,,
12,Justin Holiday,Did Not Play,,,,,,,,,,,,,,,,,,,
13,DeAndre Jordan,Did Not Play,,,,,,,,,,,,,,,,,,,
14,Braxton Key,Did Not Play,,,,,,,,,,,,,,,,,,,
